"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13"
199507 -2.57680505190119 7.64189452208211e-13 -4.13791742276233 2.83553059545723e-06 -2.90261823146976 9.14037892369646e-13 -7.16602973780238 0.0104496464779575 -7.76380762711824 0.940444600114708 -9.21283811933533 0.963294383304995
199508 -2.5323690999806 6.63754803087613e-13 -4.0716182333798 2.12183158043052e-06 -2.8876193782978 8.79545818712479e-13 -7.12956876739912 0.00931899399937879 -7.72268546298918 0.994364673378014 -9.24874549911143 0.966991009232584
199509 -2.6288503052049 2.04335487363711e-12 -4.12734984049365 4.02472806085099e-06 -2.8973965726903 1.53449233555516e-12 -7.03710366357997 0.0070271882929506 -7.72058389381367 0.999023360987231 -9.22923211366527 0.981883145696109
199510 -2.63400537991803 2.52470340034771e-12 -4.12386049448625 4.2262098545649e-06 -2.89186546719198 1.70855266603024e-12 -7.03275664164518 0.00713706134208696 -7.71869495772981 0.996352580354716 -9.19740487802592 0.999758323656787
199511 -2.56200054605737 1.74638046898589e-12 -4.00026826966839 2.44070976181896e-06 -2.66307806558379 5.96972502559135e-13 -7.02529376581364 0.00719773825460497 -7.70177234873726 0.987159333126481 -9.04025210971862 0.997001254182034
199512 -2.53918978697245 1.9152993635182e-12 -3.94088429265493 2.14895387693834e-06 -2.48055763721653 3.06923580969597e-13 -6.81034304653874 0.00502603047986792 -7.4054214898535 0.811617552430074 -8.67186531693798 0.822714904789169
199601 -2.52402683975121 2.16043127041535e-12 -3.91859731626198 2.17952512893858e-06 -2.48317863045451 3.78680332399657e-13 -6.81325981696175 0.00527566156498567 -7.40488435437134 0.813151944767656 -8.56305377307347 0.82092588599063
199602 -2.51940606593288 2.3242921240337e-12 -3.87770435377452 1.85492401630038e-06 -2.46385648591736 3.60597637132187e-13 -6.84292471411423 0.00835952266278139 -7.43272494445297 0.909528247518023 -8.58462722681042 0.86587519952738
199603 -2.51248107662847 3.07508503721996e-12 -3.91267728744615 2.84896626201372e-06 -2.49465130843063 5.92868445043421e-13 -6.83914720890753 0.00850691713380954 -7.44221648139898 0.918186553186715 -8.58127958203687 0.8644189266744
199604 -2.50589039053937 3.49856920505159e-12 -3.90463460913111 2.95725944395093e-06 -2.44604586329846 5.50466714801741e-13 -6.84158850912229 0.00906294551524584 -7.39053494669715 0.888887901523597 -8.55070137548228 0.860220091302459
