"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13"
199606 -7.44154243094723 0.000457293199189512 -3.45743831462948 0.709049872057515 -4.50685705355671 0.963454889371474 -11.7587454072449 6.18859819562239e-12 -7.63349810137031 6.85521903922319e-06 -8.43263464945625 3.78248218446591e-06
199607 -7.44382098081857 0.000481331085137564 -3.47183321056708 0.720453492799211 -4.53286245511049 0.943126846928208 -11.7921512016789 6.56464376080568e-12 -7.66613815652999 6.78475577783294e-06 -8.44320860151879 4.08014053167073e-06
199608 -7.44923142409348 0.000494843453636786 -3.5097834537821 0.758503783195122 -4.61068959128814 0.854296442267799 -11.8620516292889 5.99049279546812e-12 -7.76716120386107 5.15952383842348e-06 -8.55624996090254 2.88113064888858e-06
199609 -7.45078752817836 0.000521790179384764 -3.51708602501293 0.764852431982442 -4.57293042950135 0.883400681153193 -11.9223318787422 5.24091030650772e-12 -7.80568268330728 4.93274768006552e-06 -8.52409072544087 3.642564996227e-06
199610 -7.46494225439838 0.00052831166244699 -3.54424729192833 0.785603531490153 -4.62446376935672 0.849312056257397 -11.9838698637559 4.96859302489459e-12 -7.87048501579648 4.35892762202329e-06 -8.61051652081146 2.96578085854168e-06
199611 -7.46994474039628 0.000551077165328987 -3.5510445158381 0.790807027511641 -4.60308313151909 0.87149261649855 -12.0164425590041 5.23034586119633e-12 -7.88036805048908 4.70583286431049e-06 -8.617573024246 3.28950645332567e-06
199612 -7.46834861862926 0.000585036341768207 -3.52553591438054 0.77788353099557 -4.50257305649859 0.937083969509344 -12.0120284629513 6.56110710316946e-12 -7.8588877625956 5.65531439105485e-06 -8.58387253212192 4.14854178171482e-06
199701 -7.46959727207623 0.000618421565571212 -3.52366797812975 0.777917700947811 -4.45703496975749 0.968767087271168 -12.0304906501687 7.35853510826691e-12 -7.85821707845529 6.30556863512313e-06 -8.48856806327976 6.33764430308622e-06
199702 -7.46062818608286 0.000663436954961919 -3.51488346591451 0.77769324008326 -4.5009723956879 0.931122933853928 -12.1347485483755 5.00933294069946e-12 -7.95188873452506 4.55156274883155e-06 -8.53729339960647 5.88031137253893e-06
199703 -7.45954629892138 0.0007058438693299 -3.51469902284989 0.77827122200987 -4.51147733356989 0.929185961429277 -12.1360681009249 6.45492110160766e-12 -7.92998719872322 5.64046827000911e-06 -8.57687239333467 5.85647118030232e-06
199704 -7.44212918450493 0.000789563491746212 -3.48409021614327 0.757506843221366 -4.50477924393897 0.947540330864345 -12.1352992164239 8.46245189202134e-12 -7.89749330033642 7.40754524333129e-06 -8.48024061239998 9.83599317491631e-06
199705 -7.4796143535951 0.000753075996287342 -3.53585007712167 0.79632516932264 -4.65759858554122 0.842870846769825 -12.2563644109922 6.36915056485189e-12 -8.06845889663887 4.48680809455656e-06 -8.69907217629267 5.10683274188955e-06
199706 -7.52953235557752 0.000695852542824813 -3.58354978453876 0.832084047786445 -4.82159671035285 0.734282683214094 -12.3170422337501 6.30441392624203e-12 -8.19418019931846 3.24111298913369e-06 -8.96224235757373 2.12732107127309e-06
199707 -7.53178026954913 0.000745620900368824 -3.57712185546215 0.826485898824348 -4.84415796132573 0.73135971757858 -12.3385428716113 7.34395702375783e-12 -8.2210337419713 3.39474864599804e-06 -8.98517230730009 2.31764168603547e-06
199708 -7.55779136073313 0.000745058172443532 -3.59276380673554 0.837629445283548 -4.934404930462 0.677353859051419 -12.4026772856194 6.85300926213774e-12 -8.31402401056369 2.69277588765468e-06 -9.10784152331907 1.6907469459277e-06
199709 -7.56976334056494 0.000755458782727696 -3.57053760732171 0.831560634900362 -4.95991788388235 0.663838958249507 -12.4827395721055 5.09852361511825e-12 -8.38562488097043 2.16733134984202e-06 -9.11971185705072 1.84091679208843e-06
199710 -7.57761248016333 0.000774304877034589 -3.6242393572993 0.87890129345088 -4.92252163373395 0.672869230245387 -12.4821135254212 6.31087322777725e-12 -8.39142316574 2.35483010667726e-06 -9.14734495988045 1.77509354100974e-06
199711 -7.57543669364558 0.000826552077289637 -3.584410712854 0.853550985229384 -4.92799261229095 0.66249807726399 -12.5568844044228 5.14231092289038e-12 -8.43902138942909 2.1349133346197e-06 -9.16096823497501 1.86782560172422e-06
199712 -7.57549431524756 0.000876877234980744 -3.58691872526091 0.855747554510006 -4.92389552184076 0.667555449949655 -12.6033534487071 5.27366611440826e-12 -8.47256369110971 2.12431428994862e-06 -9.16478697220182 2.08122402018656e-06
199801 -7.56544593045374 0.000952127959376518 -3.59530625485383 0.865046695437885 -4.90664004940442 0.679884511974922 -12.6518092189217 5.44347162573782e-12 -8.51726296865931 2.01964275225388e-06 -9.17557016191346 2.24472404305841e-06
199802 -7.55552886457909 0.00103084549881596 -3.60370174145008 0.871717869807436 -4.90204023602225 0.683003140213565 -12.6810615300582 6.01874755336649e-12 -8.49948498823014 2.41877004310915e-06 -9.13667241571603 2.691599154636e-06
199803 -7.55163296138457 0.00107799579064607 -3.69413593577776 0.961677293720308 -4.92179736238738 0.633414041105477 -12.6690155207316 7.47327493678028e-12 -8.48637572021704 2.69526697322155e-06 -9.17150361696204 2.61087942295308e-06
199804 -7.57958426905141 0.00103764477809148 -3.81153367271085 0.948221811699026 -5.03703144670731 0.549943427384584 -12.5855578104709 1.10605382145939e-11 -8.41424374701181 3.70751810348052e-06 -9.23559268871643 2.36144568174967e-06
199805 -7.59427186297112 0.00105908991881371 -3.83004519665768 0.941807149223003 -5.02954047802309 0.560450756879886 -12.5622260102296 1.48897850064525e-11 -8.41162841411975 4.18667173821353e-06 -9.25161306534832 2.56401225382211e-06
199806 -7.66695467312657 0.000897474551563827 -3.96544270805346 0.844366847424374 -5.08054828631579 0.537619918659754 -12.5398738748951 2.03333270024573e-11 -8.42795930956557 4.48091546767042e-06 -9.39965812164061 1.73905869992316e-06
199807 -7.70815683530492 0.000840851238513029 -4.04728014133013 0.787013727765385 -5.16942554808379 0.47607305670262 -12.5633783540371 2.29218790676996e-11 -8.5066661076425 3.68713109131348e-06 -9.6055285961631 8.53345622470747e-07
199808 -7.71141264092607 0.000888582785009145 -4.04754290924634 0.789753110506167 -5.10770047206164 0.506185911674704 -12.5962131115953 2.4871885268594e-11 -8.53468218147646 3.79337211158291e-06 -9.6794173046705 7.81451418765605e-07
199809 -7.68412804645291 0.00101512744332086 -4.02848045101218 0.802730791490022 -5.05510337282573 0.529199807567107 -12.5667113816182 3.0038958390366e-11 -8.4878857416252 4.4246387109837e-06 -9.70873668644048 6.54600227049453e-07
199810 -7.64894236035505 0.00119648419632631 -4.00809948390437 0.819738728563097 -4.89373091341745 0.597646047279 -12.538426520616 3.95971019384853e-11 -8.42013140114042 5.69539882659055e-06 -9.61881379754708 8.16736572851321e-07
199811 -7.63531064098997 0.00133624318535685 -3.96964596977447 0.847445826517498 -4.78051306273901 0.644143983114153 -12.4771378148702 4.86563476085926e-11 -8.39172506986199 6.03985480446904e-06 -9.63793440093101 8.17573502055052e-07
199812 -7.71700291040143 0.00116110469561655 -4.01438452292771 0.816238471016369 -4.79023640725704 0.637466344503159 -12.4783522574206 5.89000140054402e-11 -8.37931326534533 6.95733826575219e-06 -9.63822898227218 9.41110391481504e-07
199901 -7.57682714891539 0.0018153017605028 -3.85232251586631 0.911449549453006 -4.70213240155009 0.672760789847526 -12.4916197617036 6.92434925645536e-11 -8.36402947000097 7.97170686966968e-06 -9.67051940707762 8.44485272815962e-07
199902 -7.86626926584661 0.000870458621147037 -4.02061275695635 0.746758049376959 -4.68064747694201 0.632848809778971 -12.4829708910842 8.29027543312184e-11 -8.28861748146941 1.07943408201626e-05 -9.53046535240261 1.46375991282907e-06
199903 -8.14359263502122 0.000471658806757261 -4.18907550791239 0.635369405731044 -4.69466984791267 0.608682421465462 -12.5002733995563 9.6704836650408e-11 -8.28719033292158 1.19613962231391e-05 -9.46444209578734 2.01545671042237e-06
199904 -8.57129095869982 0.000136528740447652 -4.43066592278283 0.436249911007768 -4.54897482743177 0.56324200781757 -12.5723271701635 8.64047728314959e-11 -8.26394080670758 1.09265445170186e-05 -9.06581083319675 4.79565680560856e-06
