"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
199508 -0.0167062746863746 2.35807850471305 -0.033516779948632 -1.13938498775076 -0.0504902259131983 -3.07621546353856 -0.0981074592054663 -6.69148928520953 -0.0380982084186299 -2.84939352895953
199509 -0.0163180361048496 2.40194410001643 -0.032787382821825 -1.04870911682326 -0.050079310990687 -3.02612454373532 -0.099272170970474 -6.81702532728937 -0.0385305483473579 -2.89338805944171
199510 -0.0156705010883356 2.44935973713913 -0.0324733806510438 -1.00802985128032 -0.0500770857963331 -3.01165915723892 -0.0990579918742029 -6.75685708443606 -0.0386744047849588 -2.89530699033956
199511 -0.0168233784497469 2.28738425776627 -0.0330240861670128 -1.07924603968183 -0.0511682352281986 -3.13053811145486 -0.0999225521475997 -6.80369506491332 -0.0385361828176793 -2.8673835651879
199512 -0.0164740041065785 2.3124719449 -0.0332380474979557 -1.1024382942248 -0.0512839247823402 -3.13069120692362 -0.0996607254991169 -6.76028637069761 -0.0383130068612993 -2.83383430541455
199601 -0.0163353481116302 2.32081864703831 -0.0332725884070675 -1.09907684570897 -0.0512529412150746 -3.11383001248362 -0.0995759857189571 -6.72314458520836 -0.0383220178612766 -2.82279951028969
199602 -0.0162917465797521 2.31755786121032 -0.0332734682924454 -1.09458461024775 -0.0512917328018612 -3.10489073826944 -0.0994208767963449 -6.69428815893232 -0.0382315472145074 -2.80211424110426
199603 -0.0163030723743227 2.30652172412204 -0.0333452927293965 -1.09953593840113 -0.051217863392252 -3.0862076021869 -0.0997109739871331 -6.69774658447127 -0.0381949173437819 -2.787673549272
199604 -0.0163255003455836 2.2972713083426 -0.0333347128685779 -1.09149306076434 -0.0512129902076053 -3.07275468678649 -0.0996824127653064 -6.66949619845623 -0.0381728278186615 -2.77297584811075
199605 -0.0154827898733043 2.38346431140304 -0.0326150109069168 -1.0206714289431 -0.0510435497275707 -3.0730646760859 -0.0998861597121059 -6.67297605643288 -0.0382094071830648 -2.77620994511802
199606 -0.0156519482786772 2.35555659035832 -0.032807302636888 -1.04698141522349 -0.051497284934821 -3.12169237675163 -0.0982378248226614 -6.52275668866579 -0.0377603755188187 -2.730594638156
199607 -0.0142525349823344 2.55209385680631 -0.0305965010852458 -0.788506531536372 -0.0493556878785282 -2.88473799524285 -0.0967375177484919 -6.34444072628331 -0.0390953772438047 -2.85815609895505
199608 -0.0125269260429073 2.68034252374035 -0.0307948606611113 -0.809522683051189 -0.0507188568960626 -3.06259387403085 -0.0952997294875428 -6.2060173939446 -0.0386638438618674 -2.80320360837475
199609 -0.0133569477573738 2.59274735126839 -0.0304196932093621 -0.75652424307192 -0.0502842116160558 -3.00040069115314 -0.0955889273531516 -6.20943970316525 -0.0386859111498032 -2.79417361947469
199610 -0.0126847578568692 2.64323181948186 -0.0305379021434349 -0.777392873813904 -0.0506676265730015 -3.02745410877815 -0.0945651194875232 -6.09558286784517 -0.0383702112797966 -2.75147198189868
199611 -0.0102814845044776 2.9110671245435 -0.030935423021428 -0.802938817222095 -0.0521606537477641 -3.15455159135211 -0.0922102602710724 -5.84825253751687 -0.0383752176667158 -2.73660160924945
199612 -0.0104944274354246 2.87858350358176 -0.0299404242336228 -0.702578259938703 -0.0509967047416626 -3.03512571502873 -0.0925524741858201 -5.86162385600262 -0.0385675241402146 -2.74829898501526
199701 -0.0100315168943632 2.94248115861476 -0.0303106867483278 -0.732480627602148 -0.0513303132228524 -3.05313158528202 -0.0934224900315779 -5.92447814598584 -0.0386512448679086 -2.7456853354742
199702 -0.00956880447160979 2.97777020173243 -0.0306108901287248 -0.775217522824718 -0.0514648944237515 -3.05433994841513 -0.0931541438084362 -5.88300835173944 -0.0386901987614563 -2.73805854560284
199703 -0.0133852724805934 2.5203045184859 -0.0294200127921005 -0.631628300861663 -0.0502581922984766 -2.92739205953408 -0.0924299274699913 -5.76972865814994 -0.0387720123228765 -2.72873842006921
199704 -0.00988469171253903 2.87513591016822 -0.0292752373551104 -0.608884561985964 -0.0513279800741508 -3.04090956416681 -0.0919429490975281 -5.70047900401789 -0.0387708831536144 -2.71753129377571
199705 -0.00766440690285308 3.12711947522002 -0.0302909962879792 -0.698293218426905 -0.0527903636756417 -3.18548251544886 -0.086736866517775 -5.25735743413378 -0.0374965008535797 -2.57964419737628
199706 -0.00785632580399143 3.09621554147003 -0.0301121668419408 -0.669921045481729 -0.0522179380602035 -3.11321177303976 -0.0864650548100918 -5.20289978179021 -0.0376148034966255 -2.58041760984917
199707 -0.00697363105797155 3.20755720021449 -0.0310848967789408 -0.746449726475081 -0.0535736400713556 -3.22002072467201 -0.0867755384390345 -5.18957665627131 -0.0373442878033077 -2.53617793273154
199708 -0.00250456479691508 3.69578025394163 -0.0294296672651617 -0.575029729584216 -0.0517505272211398 -3.03089700215779 -0.0855391377342705 -5.0456902134233 -0.0377430341237861 -2.57080258480575
199709 -0.00372329653321013 3.53348376149251 -0.0284763374195316 -0.465968114138654 -0.0506022401258059 -2.8999000559324 -0.0906631978959205 -5.67263929919404 -0.0389593174311966 -2.69474904339464
199710 -0.00342727183859304 3.56593679561317 -0.0308692028725757 -0.711485804810497 -0.0515015543218036 -2.97131883955775 -0.0914295810509493 -5.71810589233843 -0.0394413042457848 -2.7304181935012
199711 -0.00314668835641951 3.58591776710687 -0.0320120739799516 -0.83424972737977 -0.0514630516704422 -2.96029610756 -0.0915973554909593 -5.70823548874523 -0.0394920232886646 -2.72332071643233
199712 -0.00316939632144875 3.52994349226221 -0.0304449963662412 -0.759081227918012 -0.0509724496107486 -2.91149973575088 -0.0901377043557794 -5.58379218968289 -0.0381119718439726 -2.59098280111779
199801 -0.00127692619403263 3.66446823334051 -0.0308568221890151 -0.806335171733921 -0.0502787931564923 -2.82422256148273 -0.0908527105559829 -5.64447233480892 -0.0384529227628854 -2.62110695119931
199802 -0.00107394777428182 3.69903184716864 -0.0306639877101649 -0.771266925282992 -0.0487623646454183 -2.64552482017769 -0.0913934425232392 -5.64619517870783 -0.0387146073478197 -2.63057631142686
199803 -0.000805864040757998 3.7177713287553 -0.0308426623451243 -0.778700279819959 -0.0488641995033858 -2.63727193172029 -0.0917715522212197 -5.64184072430047 -0.0389701509560838 -2.63805264183798
199804 -0.000775982432176248 3.6868970263929 -0.0305968765000781 -0.794529304619106 -0.0485196496745872 -2.60085785370629 -0.0918244099046035 -5.62486397599239 -0.0390520897024695 -2.63467141135931
199805 -0.000281574944877017 3.73606176629215 -0.0315821730849026 -0.888087861523217 -0.0495533510330737 -2.68520663754246 -0.0919014772091902 -5.60382500881379 -0.0390279775990772 -2.6195642465164
199806 0.0017666611536048 3.94763403250004 -0.0316638156405717 -0.903334340929813 -0.0495424433310836 -2.67199459901566 -0.0918395143497968 -5.57384957928805 -0.0389904023276462 -2.60402271931684
199807 0.00147038968114621 3.89861378637877 -0.0328495653975878 -1.05286401021024 -0.0532930244265337 -3.05433966612645 -0.0950371264555825 -5.8220420821948 -0.039956271403178 -2.68941681095624
199808 -0.0029236890794182 3.62212327113818 -0.0516676974265846 -2.72357852096423 -0.070889299841544 -4.52853656253552 -0.106962310413811 -6.68782226799574 -0.0444400339923452 -3.0834064483935
199809 -0.00243448984142081 3.69687210003972 -0.0517408405514219 -2.71251543315332 -0.0707594891046954 -4.48723048818162 -0.106979707479423 -6.64794469597056 -0.0443044776178547 -3.05114878927524
199810 -0.00363652681857407 3.57656139170117 -0.053071610222031 -2.78622182113772 -0.070802862945708 -4.45372309893868 -0.107307696014983 -6.63691686578648 -0.0443744046327896 -3.04179355163088
199811 -0.000722447414797101 3.88008845798375 -0.0514593556506393 -2.62149518500204 -0.0695960056752407 -4.3196218441028 -0.106478179277581 -6.53936415507985 -0.0436793647374429 -2.9678015430233
199812 0.000475961646232537 4.0350599054059 -0.0501609189477628 -2.49419349378297 -0.0691996352482573 -4.27772481397142 -0.106237892652222 -6.48622795789785 -0.0436022524926651 -2.94570432255719
199901 -0.000433889507173824 3.92856477126458 -0.0500694010426914 -2.47344121640928 -0.0692129596969824 -4.27397740737908 -0.107169735949417 -6.53046231083 -0.0436637679604117 -2.9396068587514
199902 0.00112275709849052 4.11187046805816 -0.0516966251540973 -2.64315407895235 -0.0705406082144564 -4.41984304387429 -0.108473145557517 -6.60397002881879 -0.0441993522432909 -2.9708677641652
199903 0.00300414780952851 4.27151918201835 -0.0512399745587553 -2.62061925875446 -0.0689826247234593 -4.26617786774717 -0.108343050211372 -6.56499828583804 -0.0443212805566808 -2.96996712415228
199904 0.00324965299214708 4.27149537118682 -0.0527855800769468 -2.72733244424788 -0.0700234901610588 -4.30788237802506 -0.109348482872252 -6.58455238131398 -0.0447633085584174 -2.98983544933624
199905 0.00380901290166191 4.32476828978934 -0.0510454489946603 -2.5862846245299 -0.0669639591614553 -4.0834144867343 -0.109010828559275 -6.57425017484538 -0.0441020898166482 -2.94132105254117
199906 0.000957010712110851 3.98018828578217 -0.0543070810875816 -2.94937285420603 -0.0683128725841995 -4.24382424423765 -0.108073923952425 -6.50476181554511 -0.043267303567649 -2.87494729274761
199907 0.00518118137497681 4.35105657389797 -0.0501811966954173 -2.59350451336005 -0.0664713482360459 -4.08242108765057 -0.10595389848039 -6.30705248393686 -0.0414066326796632 -2.71014344008604
199908 0.00589490374557067 4.37830566406582 -0.0465511107442209 -2.26685537899509 -0.0640931985428241 -3.87695635795854 -0.104336448076288 -6.15508944927279 -0.0402638445408232 -2.60209938145039
199909 0.0061241058465632 4.38715715864858 -0.0489750470398007 -2.49098151632777 -0.067217002455124 -4.12916274928566 -0.107308455524417 -6.33190980137536 -0.0410694206832996 -2.65799564430227
199910 0.0036132287341718 4.09947533785405 -0.0499757619541681 -2.54654997654869 -0.0669132455983104 -4.08314017084666 -0.107281545409937 -6.29678353025985 -0.0411204390745525 -2.64895710321118
199911 0.0070717634170453 4.37785574473424 -0.048879170049269 -2.79986297892116 -0.0664179889572851 -4.40281595477017 -0.112515948182147 -6.98552435317443 -0.0408174891453872 -2.80195476400075
