"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
199507 -1.69467852649683 0.020254422130149 -3.35915348953284 0.251104414419214 -5.04218967127037 0.00245587637883981 -9.81780373927979 2.07149386553527e-10 -3.80375936520627 0.00480209612683218
199508 -1.67062746863746 0.0194081067575598 -3.3516779948632 0.256007827907402 -5.04902259131983 0.00241280633541049 -9.81074592054663 2.52069475486152e-10 -3.80982084186299 0.00487407684220043
199509 -1.63180361048496 0.0172923825025052 -3.2787382821825 0.295672771067873 -5.0079310990687 0.00282800886460659 -9.9272170970474 1.25790668458664e-10 -3.85305483473579 0.00426627051784542
199510 -1.56705010883356 0.0152372067472122 -3.24733806510438 0.314749680028963 -5.00770857963331 0.00295961235500235 -9.90579918742029 1.7568289322174e-10 -3.86744047849588 0.00424140892903338
199511 -1.68233784497469 0.0232990573726712 -3.30240861670128 0.281875592187282 -5.11682352281986 0.00202660871284309 -9.99225521475997 1.35473261200422e-10 -3.85361828176793 0.00461657631253895
199512 -1.64740041065785 0.021846385511558 -3.32380474979557 0.271695585771213 -5.12839247823402 0.00202560609015957 -9.96607254991169 1.72377317779514e-10 -3.83130068612993 0.00510727471766001
199601 -1.63353481116302 0.0213810131518133 -3.32725884070675 0.273155125620099 -5.12529412150746 0.00213883036579101 -9.95759857189571 2.11690034561452e-10 -3.83220178612766 0.00527877469751724
199602 -1.62917465797521 0.0215617730378894 -3.32734682924454 0.275114077877247 -5.12917328018612 0.00220120431482523 -9.94208767963449 2.48213108755234e-10 -3.82315472145074 0.00561445563239158
199603 -1.63030723743227 0.0221835438320462 -3.33452927293965 0.272955469635557 -5.1217863392252 0.00233702864201412 -9.97109739871331 2.43528145302568e-10 -3.81949173437819 0.00586018424820281
199604 -1.63255003455836 0.0227167616831364 -3.33347128685779 0.276467828658032 -5.12129902076053 0.00243957616048431 -9.96824127653064 2.8449649585249e-10 -3.81728278186615 0.00612028374919824
199605 -1.54827898733043 0.0181574933095681 -3.26150109069168 0.308735849821919 -5.10435497275707 0.00243716720342199 -9.98861597121059 2.79105081252998e-10 -3.82094071830648 0.00606216798998283
199606 -1.56519482786772 0.0195363968281198 -3.2807302636888 0.296466778741568 -5.1497284934821 0.00208532508365726 -9.82378248226614 6.34124168961895e-10 -3.77603755188187 0.00693002431893173
199607 -1.42525349823344 0.0115114419770077 -3.05965010852458 0.431404304169785 -4.93556878785282 0.00438000256508475 -9.67375177484919 1.65588695159358e-09 -3.90953772438047 0.00474706053775849
199608 -1.25269260429073 0.00801508952744724 -3.07948606611113 0.419248941260924 -5.07188568960626 0.00251976338871597 -9.52997294875428 3.45011411443854e-09 -3.86638438618674 0.00559630413366677
199609 -1.33569477573738 0.0102781832435684 -3.04196932093621 0.450292098609134 -5.02842116160558 0.00306591299720998 -9.55889273531516 3.38846577949674e-09 -3.86859111498032 0.00574839157520534
199610 -1.26847578568692 0.00891240995317223 -3.05379021434349 0.437914640247585 -5.06676265730015 0.00281618707258877 -9.45651194875232 6.15298041792699e-09 -3.83702112797966 0.00651973876984783
199611 -1.02814845044776 0.00404217853061135 -3.0935423021428 0.423034919504984 -5.21606537477641 0.00187483471776263 -9.22102602710724 2.19548154892455e-08 -3.83752176667158 0.00680964148943627
199612 -1.04944274354246 0.00446260202721349 -2.99404242336228 0.483196966007938 -5.09967047416626 0.00274885913148254 -9.25524741858201 2.05132163778489e-08 -3.85675241402146 0.00658064128028017
199701 -1.00315168943632 0.00367038257704416 -3.03106867483278 0.464797279185253 -5.13303132228524 0.00259661658265694 -9.34224900315779 1.48870623829081e-08 -3.86512448679086 0.00663119453966035
199702 -0.956880447160979 0.00329027896749293 -3.06108901287248 0.439195586841541 -5.14648944237515 0.00258668327025765 -9.31541438084362 1.8398065317022e-08 -3.86901987614563 0.00678073064061672
199703 -1.33852724805934 0.0125663169825204 -2.94200127921005 0.528405298875669 -5.02581922984766 0.00384486970420273 -9.24299274699914 3.26494227762112e-08 -3.87720123228765 0.00696761176335532
199704 -0.988469171253903 0.00450949157590223 -2.92752373551104 0.543343888815607 -5.13279800741508 0.00269908213317594 -9.19429490975281 4.6197479013462e-08 -3.87708831536144 0.00719849802497394
199705 -0.766440690285308 0.002049117294601 -3.02909962879792 0.48586594274021 -5.27903636756417 0.00169484062847745 -8.6736866517775 3.98630875863961e-07 -3.74965008535797 0.0106620774610411
199706 -0.785632580399143 0.00226333859981836 -3.01121668419408 0.503738954426298 -5.22179380602035 0.00214309099366946 -8.64650548100918 5.1531106093087e-07 -3.76148034966255 0.0106390660882104
199707 -0.697363105797155 0.0015763299684613 -3.10848967789408 0.45633822337172 -5.35736400713556 0.00151286254546119 -8.67755384390345 5.48563581954877e-07 -3.73442878033077 0.0120292552459374
199708 -0.250456479691508 0.00028822912943728 -2.94296672651617 0.565966107290901 -5.17505272211398 0.00278578578062787 -8.55391377342705 1.07019763501369e-06 -3.77430341237861 0.0109283304126798
199709 -0.372329653321013 0.000517355688334909 -2.84763374195316 0.641783527381911 -5.06022401258059 0.00418243841853394 -9.06631978959205 5.30746151441352e-08 -3.89593174311966 0.00768931394793162
199710 -0.342727183859304 0.000460976447965434 -3.08692028725757 0.477674592670073 -5.15015543218036 0.00335694731166462 -9.14295810509493 4.23018952973914e-08 -3.94413042457848 0.00693358931724181
199711 -0.314668835641951 0.000429194488102371 -3.20120739799516 0.405210423110432 -5.14630516704422 0.00347373192122514 -9.15973554909593 4.44418959721124e-08 -3.94920232886646 0.00707837536761764
199712 -0.316939632144875 0.000523883549294656 -3.04449963662412 0.448764859306157 -5.09724496107486 0.00403683249687308 -9.01377043557794 8.24016907816322e-08 -3.81119718439726 0.0103291476956684
