"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
199507 -6.59580181464476 0.000897016464212762 -5.9290904431047 2.34117280529451e-05 0.915878481280419 7.14568709790522e-11 -2.41846813870763 0.122680132708359 -6.66850848513014 0.00160741547982832
199508 -6.58379439799526 0.000990651549992518 -5.93423465129921 2.46614696510052e-05 0.915287861240022 8.41762475619917e-11 -2.41795218329481 0.124271597896008 -6.6894069708219 0.00156918415837881
199509 -6.50285032811544 0.00139923838663183 -5.88919175068991 3.17610558436293e-05 0.929659564415397 8.91655053107494e-11 -2.2770216060805 0.0839392591174655 -6.64913013285688 0.00190979700942381
199510 -6.45372835454636 0.00181875231427714 -5.87472640131628 3.6645001119269e-05 0.9337933306093 1.02206440172707e-10 -2.27328997972418 0.0853681694973524 -6.6209954489421 0.002232724477405
199511 -6.51262852401067 0.00163661326699394 -5.89876911393055 3.66131885168704e-05 0.936508998704433 1.17449936569607e-10 -2.28594070203345 0.0868619831326918 -6.66360153257801 0.0020892605298198
199512 -6.4957124258803 0.00170522582760271 -5.92940732779519 3.43062167233016e-05 0.96671584391016 1.1182054127268e-10 -2.4361005235749 0.124408730382793 -6.64856571073662 0.00220708544454537
199601 -6.50043243567799 0.00175155167695038 -5.92818068971823 3.71651650204658e-05 0.965315034167735 1.32146790436405e-10 -2.44814011188346 0.124332028441246 -6.65728702203876 0.00225134517412712
199602 -6.42327081444141 0.00235978223337374 -5.93740137044487 3.78977052585755e-05 0.979045443895477 1.40734088950711e-10 -2.5191318598651 0.150018899269656 -6.63814365277977 0.00246693552712595
199603 -6.39285934069345 0.00271691246445186 -5.92090581771043 4.38564919428958e-05 0.963832720064184 1.75303764156882e-10 -2.53700546989943 0.159160612681369 -6.63308494885464 0.0026000627759386
199604 -6.40299152233612 0.00274468060873711 -5.92065583946699 4.71298056411527e-05 0.951484842607597 2.03944433693135e-10 -2.53033105064759 0.157700537606776 -6.62756852895008 0.00276133073315581
199605 -6.31475739494936 0.00392869802524131 -5.90136786424615 5.37082501982598e-05 0.962588219748117 2.22722467278027e-10 -2.45825983637122 0.136686404160394 -6.61879336485194 0.00291352643120647
199606 -6.34794644200372 0.00347520889758668 -5.90147066989268 5.65776476410681e-05 0.930191126750679 3.1267110904854e-10 -2.50463421495941 0.160873002439004 -6.64904650351374 0.00264828378647429
199607 -6.18223175279455 0.00684532267145366 -5.87381044701814 7.18992612619869e-05 1.04271134665959 1.34391698449218e-10 -2.2944885585124 0.0930171791114887 -6.54327066409497 0.00403409666084204
199608 -6.1971148818849 0.00679463007427194 -5.90175109078681 6.86669768037029e-05 1.03691775607337 1.64161280233427e-10 -2.30140003151564 0.0942345379209527 -6.56580737707844 0.00393371862004998
199609 -6.17344451956399 0.00765408156872417 -5.87587172275816 8.34022624543772e-05 1.0577549403089 1.50824164488679e-10 -2.26416842275634 0.0814361842983494 -6.54961793371385 0.00439841873762342
199610 -6.11568835700276 0.00903160831645569 -5.93161577353365 6.62272293229106e-05 1.09659636636599 1.3908305498268e-10 -2.15285332058464 0.0659180379918604 -6.61018612416755 0.00365731420842305
199611 -6.03095479046754 0.0121176599587259 -5.90507320427902 8.13308356785712e-05 1.14060034372303 1.00017609963357e-10 -2.01086976018547 0.0445778707942334 -6.54338563108683 0.00493578406069208
199612 -5.99012216111958 0.0142184570539139 -5.81965336059802 0.000108713769632825 1.18408554833502 9.04975849295595e-11 -1.95008962769443 0.037429903918974 -6.51217542008973 0.00570445111912684
199701 -6.00764766387063 0.0140918579949282 -5.91613458648377 7.2527651493106e-05 1.13934130466863 1.34125591193932e-10 -1.99611905160295 0.0370974586055986 -6.54920248510209 0.00545925623020239
199702 -5.91537714666646 0.0181379144385187 -5.9743746901876 5.91012582189563e-05 1.02545167850606 3.31498448522213e-10 -1.99602226798936 0.0395612805564473 -6.50391465609979 0.00623452388148267
199703 -5.943924391278 0.0183198334979528 -5.93990362393439 7.31103197943544e-05 1.07706382830612 2.3641676135764e-10 -2.10002339272821 0.0434324920754555 -6.53621468652799 0.0064571295631522
199704 -5.99319773161153 0.0166412064458219 -5.97984492240271 6.56756148812717e-05 1.03607788172567 3.43472917024662e-10 -2.19560215564829 0.0540880072100938 -6.59406272886547 0.00570838463077999
