"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103"
198101 -7.667706378644 3.5461094431625e-138 -27.1660753107915 -19.2860348393395 -15.9044357742294 -25.7062781933638 -20.6442350078793 -11.4890293028508 -32.9476076670992 -29.8121549031814 -24.9029384048497 -17.3716204958107 -26.9574824197775 -14.0098856308955 -20.9976431532596 -21.7371130288211 -22.1534423498958 -12.7482896278561 -20.7055699507295 -17.6285935684026 -26.6867477086304 -26.18642983585 -16.068301223954 -24.2271116845846 -13.7493211361706 -23.7265387402488 -27.0600899756831 -10.6072973530732 -12.2964574555585 -19.9760209677418 -31.1893427371046 -25.1821918805834 -17.0945719314974 -29.532205493091 -18.1718513743955 -23.5931636989827 -17.5300021201493 -26.3647637562544 -12.966874523493 -13.9219901255146 -20.8998455368765 -19.5087340927415 -16.3729436576409 -22.4110270597393 -20.134048341648 -15.5018707602795 -17.2091138247485 -23.979581695686 -24.2423708875358 -24.5309160938749 -11.0651815958118 -17.6145796580715 -17.1038910994794 -16.2171778243981 -18.3430198342872 -25.5969117563285 -22.3396890816577 -11.0181556753602 -19.2774086641135 -14.0836260147108 -20.1131767895487 -25.0378952257665 -23.2414306991714 -28.501565590479 -14.2299709045912 -21.9704031773726 -18.1028856958512 -15.3077158528255 -12.8178441529988 -27.1551856464629 -24.8406190644009 -23.0790667572152 -31.2532388143932 -27.0859798692232 -18.7449601129061 -29.2422237516767 -11.9075780396922 -15.2462314197488 -19.2601659895013 -39.8156094396883 -19.0602021298391 -16.1218024040759 -17.8462440870673 -11.1380030876304 -15.0128719413507 -16.4867114178827 -24.2606036152674 -22.2185756540975 -16.9907371746957 -20.9263987009104 -25.1825465465361 -19.9856067672511 -18.0160959288296 -18.5693230621415 -15.4058468387924 -17.0481210300057 -30.9358112208993 -12.1393936396924 -10.750127718059 -12.885245670491 -11.1525240038695 -21.5540580835603
198102 -7.6487923143465 4.90067858642349e-138 -26.9826314828253 -19.2913491333856 -15.8951233379119 -25.7175732751702 -20.6509800553033 -11.5147822066707 -32.871712908385 -29.7890996762014 -24.7988580474036 -17.4019773793181 -26.9426514394993 -13.9270356146156 -20.8891084900001 -21.6959169798037 -22.0935112240744 -12.7305556228778 -20.663940540175 -17.5600716986055 -26.7154912034648 -26.2197248016397 -16.1224849323461 -24.2143546898244 -13.7824483249881 -23.5342707321298 -27.0677819768612 -10.6746539151383 -12.3517852665973 -19.9811139110293 -31.1454606665779 -25.131204772073 -17.1123996821255 -29.6157822259154 -18.2445820142775 -23.5512990299012 -17.5570600116633 -26.3514000950266 -12.994422014987 -13.921081303168 -20.6711681482485 -19.5146604123916 -16.4049303643759 -22.3395687390909 -20.1310675342015 -15.4798696171115 -17.1746245711406 -23.853812035553 -24.2891008763906 -24.4070442574751 -11.0657205615573 -17.6276804827364 -16.6963866890931 -16.1954875329188 -18.166888152342 -25.4411985692349 -22.2163527384762 -11.0747277243766 -19.2862003370126 -14.03871092643 -20.147524628862 -24.9160718163377 -23.3127679834476 -28.5397130084688 -14.1685724060097 -21.9231078356782 -18.0020146836777 -15.2555019373447 -12.8417069307101 -26.9840765681974 -24.8029271001495 -23.0047893593155 -31.2404167371301 -27.113717722166 -18.6816902151171 -29.27732744868 -11.7620716163093 -15.3172739709947 -19.2620508404773 -39.7987361620882 -19.135393206655 -16.0802690028669 -17.6664939490397 -10.9920399225206 -15.0019891357766 -16.482954385951 -24.2697753081156 -22.177085962254 -17.0737588592016 -20.9829573967321 -25.0750690808863 -20.0289683741033 -18.0040416660914 -18.3878413216199 -15.4758231994075 -16.9350806958427 -30.9336219254643 -12.039277502001 -10.7059614427772 -12.9146941867829 -11.1643070088081 -21.4624686795214
198103 -7.65463691984423 8.14579013172312e-138 -26.7402832155029 -19.1458114665379 -15.8568055923135 -25.7170882401979 -20.4464424066937 -11.5935852023149 -32.7533062277099 -29.6525257263743 -24.6868588121303 -17.4038063958824 -26.6277196174174 -13.7626039481703 -20.8726048737189 -21.5847083642101 -21.9336742031818 -12.5801636530636 -20.4698445123747 -17.5567135487186 -26.5478053450685 -26.242139672374 -16.1160077849729 -24.2446104590408 -13.866420417125 -23.1953043031001 -27.006254758168 -10.698963061081 -12.3751846949148 -20.0098247211287 -31.1047587875648 -25.1176512551541 -17.036823236664 -29.598044183179 -18.2333587033067 -23.4365867146423 -17.6110545847451 -26.3011038519759 -12.9491831745863 -13.662314634804 -20.6093568821708 -19.4881288993321 -16.3450930683846 -22.3895299377823 -20.0919390949419 -15.5319593827539 -17.0673298032824 -23.7257906701522 -24.297074941279 -24.3735643273665 -11.0888490897736 -17.5610020779568 -16.6723686257292 -16.1255322872652 -18.1899105581084 -25.2867580288137 -22.2058061973425 -11.0471587544167 -19.4043422324772 -13.9502702056133 -20.2437277825834 -24.8375923813795 -23.3784781736857 -28.5120160433799 -14.2490550683699 -21.820248708209 -17.9333734197657 -15.2813790605357 -12.8627195016171 -26.6726929344576 -24.7611857726192 -22.9325640774588 -31.2366365101749 -27.0881606920596 -18.6643045485383 -29.3189181142862 -11.8080702555784 -15.3560573035929 -19.1525902668687 -39.7936729483164 -19.1707588155981 -16.0596496584368 -17.463844463948 -10.8310907590284 -14.9266794354175 -16.5386559980259 -24.2439562947058 -22.2249704527725 -17.0724987650906 -21.054073640703 -24.9185854924694 -20.037728475507 -17.8413882879057 -18.0536143153994 -15.4866117324461 -16.9510442341478 -30.9791424764892 -11.969984452651 -10.7736023349986 -12.90790172987 -11.27264972065 -21.5023456338105
198104 -7.70420687774651 2.12328752774686e-137 -26.4864406695078 -19.0919358209576 -15.8519008582132 -25.7282324277474 -20.2771969600995 -11.8057081740982 -32.765989389921 -29.6224393826752 -24.3420022678113 -17.4939771422407 -26.4380361845291 -13.5466901926747 -20.7336291958024 -21.5591963273766 -21.8034520438015 -12.3876319346993 -20.3467610764118 -17.5752799375706 -26.5098123534163 -26.1589672146366 -16.1764250024967 -24.257802445104 -13.8280849122307 -22.7865679065362 -27.1133475866707 -10.5774205606339 -12.4025668751569 -19.6916952145776 -31.0087292605516 -25.0414337563494 -17.208980847586 -29.7038085918795 -18.249133178775 -23.57011333497 -17.7327937586683 -26.2989622694841 -12.8736537412058 -13.5254403965323 -20.6654257069102 -19.4560788266048 -16.2234528176025 -22.3636268462662 -19.6681222771352 -15.747763154438 -16.8630286839189 -23.5587011933466 -23.983465149452 -24.2057757925239 -11.0389468112124 -17.406890137482 -16.5568915066256 -16.2779667640391 -18.0724294949178 -25.3348212012437 -22.2366787174359 -10.9541401610003 -19.5450535675542 -13.8986208547191 -20.5019571089769 -24.6124438753512 -23.3358337537358 -28.6204945545693 -14.1449174067727 -21.6732330721822 -17.9352600721202 -15.1477281294186 -12.9492725907184 -26.497307264627 -24.6607565104491 -22.8192811577411 -31.4311644594093 -27.1334680209236 -18.5683816416141 -29.3533643744318 -11.7850532878586 -15.2154657737447 -19.2056667466468 -40.0238829348103 -18.9914347810497 -16.0412501072021 -17.1718708118066 -10.6699127079928 -14.968560513626 -16.4875941520102 -24.4350144734487 -22.1604677590086 -16.9479701252842 -21.01251705714 -24.711514473026 -19.9519263788446 -17.6679136225159 -17.5932237984708 -15.4356607909189 -16.7279066072195 -31.003660042319 -11.7130783008636 -10.7575739063134 -12.9468187771948 -11.310218320436 -21.4570816117706
198105 -7.84092325309853 8.97909916019197e-137 -26.1933440833793 -18.9262069079516 -15.8350752042733 -25.7247678848926 -20.0461255242185 -11.8199536480629 -32.8813341835876 -29.516111551486 -24.0131634271348 -17.4161376189919 -26.3465051169105 -13.4725182377213 -20.7872630680395 -21.5815494487701 -21.7656877035315 -11.9418096788664 -20.3213331281458 -17.4559050652684 -26.4225492113922 -26.3491370553173 -16.204967987125 -24.1596211260322 -13.815426743822 -22.428903556316 -27.2113854971251 -10.4162229170337 -12.4188742095344 -19.3960971829676 -30.8790005150668 -24.9083919468307 -17.2434418532077 -29.6905645650911 -18.0052761953572 -23.6404790805955 -17.7085232760001 -26.3854857441156 -12.7261814191149 -13.3521842633923 -20.5156573087698 -19.3853670651666 -16.2067851852951 -22.3686107870444 -19.4442681112925 -15.8127841027684 -16.6572958564165 -23.3729618574042 -23.8280223208152 -24.0456413972303 -10.9889908199061 -17.3138584403373 -16.407639887385 -16.2510213160527 -18.0930652975224 -25.171508438466 -22.0849599696037 -11.0764489605885 -19.5138171648473 -13.826607670492 -20.6330940668213 -24.2045665294623 -23.1481338339023 -28.7124399535643 -14.1933675159174 -21.5346864380481 -17.7410708097554 -15.1749440498843 -12.9628320843217 -26.1689273737667 -24.5541953865419 -22.5417138970259 -31.5163089950183 -27.2558584125296 -18.4858686801849 -29.5944457546301 -11.7945017601985 -15.0819199828663 -19.1621298353453 -40.1255269084522 -18.9422194603021 -16.0208059562573 -17.0053653169735 -10.5087458328554 -15.0637890063648 -16.2121678398811 -24.479065576282 -22.1558645290227 -16.8127322151579 -21.2099267282805 -24.5176902692573 -19.7567974962974 -17.5948763261719 -17.2311502081008 -15.1537548851067 -16.4526315356127 -31.0081289428968 -11.4990786226367 -10.9821436184338 -12.9886621291189 -11.4868941087956 -21.2905122206274
198106 -7.7643352128721 1.48486083931341e-137 -25.9048775332142 -18.9745735662681 -15.8251315490752 -25.5719833825144 -20.0156050965047 -11.7001901434324 -32.9184580865438 -29.3957733869858 -23.9726478661878 -17.4619581552006 -26.0751108128069 -13.2551572893908 -20.753120001938 -21.4235021256046 -21.6650099079697 -11.4734538329002 -20.2633606543265 -17.5013875605323 -26.1878916122353 -26.3142731260057 -16.3132427561192 -24.1645800621961 -13.7121153627988 -22.1672533301978 -27.2690674062526 -10.3361934452579 -12.5093533736467 -19.1950308324945 -31.0909989253957 -25.0683526067699 -17.242397911266 -29.7584949447964 -17.9747026459082 -23.6866054829399 -17.6410843290357 -26.5457171626694 -12.6684657911139 -13.1398044953272 -20.1524791577859 -19.1810397598933 -16.2374538680354 -22.3429547315641 -18.9854324835684 -15.792486632106 -16.4403528368202 -23.3476972443681 -23.7290007503535 -23.9495709380471 -10.7559897480508 -16.9171080973384 -16.2941832758524 -16.1267022450045 -18.1313538951432 -25.0435547956942 -22.100209476825 -11.0361620810229 -19.5181185446963 -13.7424943435195 -20.7324015452385 -23.7377369270103 -23.0096619876213 -28.640669701256 -14.2245033563558 -21.3518043223667 -17.5917187797797 -15.1113383204023 -12.9267556790688 -26.0218057215593 -24.4746424832005 -22.5554191651053 -31.7912988262398 -27.2021882741084 -18.2856578548065 -29.667626105145 -11.7987973060427 -14.8644043849487 -19.1737046514813 -40.1816978081149 -18.9613064359795 -15.8291729399726 -16.7811661047094 -10.2148007377533 -15.0663019240264 -16.1773624528208 -24.5609090605405 -21.9670311451964 -16.5252229773167 -21.2386249308533 -24.2624564460794 -19.6051072898557 -17.5535644060457 -17.1167017090875 -15.1271894168151 -16.2148091884387 -31.0313450101581 -11.3613033737218 -11.0039213334189 -12.8871550325222 -11.5083832031529 -21.0611862399273
198107 -7.59839914110694 6.4825067016005e-139 -25.5406830659662 -19.0516045332419 -15.7651007321322 -25.1530861465756 -19.9507701985799 -11.6310501471189 -32.8504222380414 -29.3515872250362 -23.9454277568808 -17.5407883431783 -25.8893925801662 -13.0164418416635 -20.8827106507392 -21.403709339507 -21.5430722748921 -11.0111574622836 -20.2045899902881 -17.6834671007283 -25.9536983345572 -26.3598838720821 -16.2982431690483 -24.1871844463356 -13.4624976703645 -21.7804729395897 -27.4220365817035 -10.1103678358373 -12.6287636832632 -18.7407532753705 -31.0127933675108 -25.2475179004746 -17.5036927479674 -29.9715392007671 -17.9117841986869 -23.6777971787833 -17.7412046058818 -26.7383131971847 -12.7333456312935 -13.0091727960157 -19.8176234862755 -19.0596811566669 -16.3560625326864 -22.2496049618867 -18.7733695168705 -15.921114616561 -16.3855405536635 -23.3511830607759 -23.3029691121396 -24.0469078534776 -10.4952774461927 -16.6155656820134 -16.0978127753961 -16.1457491959255 -18.0952637554046 -25.1930667121701 -21.8909177801452 -10.9696900317902 -19.520889873949 -13.5411228191115 -20.8374530005092 -23.560556342544 -22.9411145658327 -28.551471664929 -14.1714619591072 -21.1662758702256 -17.3191494419509 -15.1865826286601 -12.7806828429487 -25.7138134979024 -24.3763954871614 -22.4439896720521 -32.1154121049333 -27.445538927835 -18.0127591064237 -29.6040634622342 -11.9423016592786 -14.7498161139986 -19.4578512739313 -40.1913326799244 -19.067219402932 -15.6490618061099 -16.376123111518 -9.75361770339924 -15.2297997470367 -15.8936523345844 -24.7767506548448 -21.8797148193261 -16.185038505658 -21.3385108475087 -24.1042413116632 -19.4378086462146 -17.5807450981788 -17.0334845495621 -15.0474653651605 -16.0645099617754 -31.1888566348003 -11.3053791448261 -11.0483195645237 -12.6244092279027 -11.5842912080078 -21.1415576376228
198108 -7.68371451554644 3.68086407173029e-139 -25.2646192907676 -18.8017219933362 -15.8313518728365 -25.2447836965745 -19.9075269937298 -11.6668420242785 -32.7359076186474 -29.0676997415884 -24.1196816140128 -17.5185263377108 -25.6220958257774 -12.823597084653 -20.795893790188 -21.4811876874508 -21.6009074469575 -10.5844152056866 -20.1297786870791 -17.5667953191511 -25.7860844924898 -26.4315414677933 -16.1863921106681 -24.1944995601984 -13.3444692005004 -21.4910681699827 -27.6234867162516 -10.1186901326803 -12.8272286642476 -18.4876997778112 -30.9151495927395 -25.0382161921744 -17.4966449950104 -30.1066144774407 -17.6356932215011 -23.7155062063438 -17.7184946380055 -26.7799756924621 -12.8044411218664 -12.8949556810448 -19.5052566815581 -18.9050435498013 -16.3660158380309 -22.12141222847 -18.3696443656931 -15.9749286819753 -16.30066176963 -23.1563994711521 -23.1055769447923 -24.0488354079345 -10.363736498113 -16.2896029059491 -15.8556711014861 -16.146849990015 -17.6415156131484 -25.2627940748041 -21.754269386561 -10.9866570267391 -19.4485595801385 -13.4173761657685 -20.740489114372 -23.3613356223418 -23.0832879342735 -28.6569206604643 -14.2467210107906 -21.010420509496 -16.7651272091512 -15.2765575759022 -12.602952608686 -25.7013847670317 -24.1804900196825 -22.4787032876374 -32.4609049762196 -27.5747249580159 -17.6423799321283 -29.7780922514501 -12.0914239825632 -14.6711227315985 -18.9381230708927 -40.2382622160768 -19.1260339338745 -15.4336317772812 -15.9028924004902 -9.54820806138645 -15.2104700713508 -15.8926052744738 -25.0120323813764 -21.6856044089146 -15.8705722289195 -21.5377586823055 -24.1099870424443 -19.1047269807751 -17.6120119844379 -16.9720509466715 -14.9799444108775 -15.7870549490628 -31.4705634948062 -11.0316142328002 -11.0710014726474 -12.3982591403579 -11.5513321541202 -21.1843052382491
198109 -7.54534666670768 8.7796287935526e-141 -24.7706033806857 -18.8576818787888 -15.9030877242523 -25.2817719540446 -19.7309807130586 -11.760523979716 -32.7164068008576 -28.8610297031312 -24.0378929340416 -17.5768606678345 -25.3718629234119 -12.4686081965167 -20.7330768232529 -21.411542796181 -21.5993435807362 -10.2415839861296 -19.7894975345729 -17.5326204243403 -25.8072698817566 -26.5506744656496 -16.1810701625972 -23.949757539975 -13.4261340809296 -21.1912825985766 -27.7677786775219 -10.330061427915 -13.0944070013586 -18.428924989489 -31.0355078465145 -24.9155559387024 -17.4546557819812 -30.3086860608011 -17.4355098821395 -23.707202479362 -17.54338512178 -26.8844060072655 -13.0004667286844 -13.0202554914382 -19.1963624710429 -18.9011954414395 -16.5697361193908 -21.9066400406987 -17.9532894736233 -15.9991656338899 -16.1975292894236 -22.9741434370512 -23.1750910795942 -24.2091126308284 -10.1468105110354 -15.919604025241 -15.9810568289187 -16.0776791743018 -17.0205431869546 -25.0791411890856 -21.7414492047867 -11.1933050282468 -19.5423999217572 -13.2694520963722 -20.5540651397163 -23.017815034126 -23.085627938325 -29.0007562538585 -14.265490753207 -20.679426901154 -16.2946752086312 -15.3530355488176 -12.4292437720028 -25.5104371150056 -24.0875171525604 -22.2250692084777 -32.6216012042407 -27.7377893876882 -17.4213396566722 -29.6656234036474 -12.3035093240762 -14.8434181992281 -19.0901918927745 -40.4799759410193 -19.0814324288946 -15.0043783491538 -15.6253356919277 -9.44560492598729 -15.3151654827143 -16.2319373023941 -25.3259120299396 -21.6444885049193 -15.8070904359383 -21.6610297308429 -23.925859907651 -19.0779150675824 -17.3901098936775 -16.7877651083645 -14.9022094395588 -15.2327663289387 -31.8102893290686 -10.5687284318238 -11.0216526206405 -12.4415790532114 -11.5707481166868 -21.0973719010116
198110 -7.39235222347654 9.7918711198746e-143 -24.6649574450443 -18.9025260639527 -15.8289219344928 -25.2639986804485 -19.61468268061 -12.0439610023779 -32.6685341479097 -28.9114281650328 -24.1192529190347 -17.6737692104874 -25.2838443436946 -12.3365001672319 -20.6620869944081 -21.5860325025741 -21.7106651450801 -10.0763737521623 -19.6819043983041 -17.3171719811961 -26.0068546259276 -26.4599775677924 -16.2638550248162 -23.8296271685017 -13.309613405319 -21.138594532304 -27.8840390601398 -10.3155843310179 -13.140332929722 -18.3848031997735 -31.1357579086164 -25.0863151332001 -17.6173405429762 -30.4784638021321 -17.4150364100936 -23.8977295758938 -17.4381299880836 -26.9420196135687 -12.9474220169031 -13.2625696368721 -19.0423454587946 -18.8446941354363 -16.4137884033704 -21.7994593622684 -17.6568417721463 -16.1472418476747 -16.168086257129 -22.6956675072823 -23.145065782603 -24.3153703151863 -10.0789781463252 -15.6884510019029 -16.1578540381921 -16.1202798907067 -16.6147509310484 -24.8946365844024 -21.7196837860787 -11.3904511144776 -19.5928247118598 -13.196842525189 -20.7016192571174 -22.8246382312473 -23.2165719043796 -29.1032285221927 -14.3018578759813 -20.5904165019198 -16.2741930710188 -15.2889598135558 -12.2942972889066 -25.3362041303648 -24.1709324830856 -22.2524332182308 -32.2763401236163 -28.0609497469897 -17.2438950331107 -29.7645846896622 -12.264183780961 -14.833460813786 -18.6913111897034 -40.7427921766436 -19.0798935568213 -14.8773045742369 -15.6822173187051 -9.19454496246697 -15.1637110327455 -16.3449362031904 -25.4559480159394 -21.6249027135684 -15.8680024420379 -21.6164291648862 -23.9261754805465 -19.0947548906918 -17.3543410515224 -16.796044751681 -14.9904548709214 -14.9477373212747 -31.97989209304 -10.4688134668394 -10.9753560689629 -12.4251835168109 -11.2264159787385 -21.1389806898467
