"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103"
198101 -8.59882516411847 1.65800756628903e-74 -59.341033056613 -62.4377324154256 -108.810292112718 -93.6812292448301 -62.2708844085075 -21.1237670578549 -112.474197910183 -244.841681471619 -121.403345402596 -107.738169673641 -28.1117398163499 -39.2480433291641 -66.5023266802466 -73.6927307173729 -56.5543789671544 -20.4844554130532 -145.97621781233 -76.0727944486003 -58.7762728179038 -35.659738308244 -79.3174105512656 -84.5225888257817 -44.7133725808377 -43.3046142390369 -64.2465234143081 -164.196230955537 -28.1762977828466 -110.615092039375 -25.5346329509166 -51.9356425690554 -23.9325931129153 -159.717126446037 -35.3017052641087 -43.0557465987284 -29.2176485696365 -45.6144888379821 -19.9813359984138 -67.8758128454049 -20.851266473556 -64.4150792901145 -55.8447618054987 -94.6690378568672 -53.8690189690772 -184.547901745851 -129.582787597272 -522.284686021551 -24.7283326875367 -108.512940837672 -94.6711325196957 -78.3186236294381 -51.2847401326125 -71.6346741445994 -25.9767229400583 -85.6361125074527 -81.3200568964911 -44.1324170250334 -26.8629854844957 -39.0616603266371 -50.1103393111149 -167.026210178583 -64.5187258688076 -49.6548335676098 -34.2356338204554 -57.6497167765201 -123.237637633923 -85.6463188821743 -56.8892478975127 -37.1975687753412 -51.3108374779933 -85.9228364958031 -82.3803944775867 -35.903856165584 -58.0920122085748 -51.1921567781712 -62.298901587931 -75.5484276322517 -8.59692975642465 -99.5486167578711 -106.255964866567 -52.3133490620603 -85.1067840693731 -54.6006207103217 -92.449943971571 -27.3293278667979 -74.17977578462 -60.4102901065798 -33.9649076144759 -37.2433441655359 -70.3007763354678 -110.973539325239 -62.8325448714525 -54.0150130232337 -18.2786163624419 -48.2103353410696 -39.01155631369 -56.6783610243805 -30.6088314658458 -94.7731198207961 -39.0526116189287 -89.641487031817
198102 -8.40232135855321 2.55012353679452e-76 -59.0125317295393 -62.5557857492405 -108.83906505408 -93.6423909671985 -62.2689701567766 -20.4636380336047 -111.869219553718 -244.345174594684 -120.677474975733 -106.847927783622 -27.6166090792881 -38.1252098415361 -66.8981658141968 -73.5806639408399 -56.0090261315644 -19.4935133866253 -145.716708791577 -75.9773711148223 -58.8301119964418 -35.5502599224703 -76.781262108833 -84.0174325842183 -44.7339620321546 -43.328664368934 -64.1772355443176 -163.803437187743 -27.7900072297042 -109.770677893042 -25.1817876295314 -50.7769252026277 -23.8895002136137 -159.328449442606 -35.0830735997631 -42.8672155982935 -29.1841739116886 -45.5674627460257 -19.456153521898 -67.354731141058 -20.4239709603201 -63.9186864777618 -55.5180605012314 -94.3636752106822 -53.9880113738677 -184.86680201325 -129.422330575434 -521.914183653578 -23.2210178432685 -108.356812726546 -94.5307659076033 -77.8107258793209 -51.2343728761608 -71.3648272710056 -25.726082329461 -85.3278852359562 -80.978532701915 -43.9740590488464 -26.2013740871263 -39.220761719737 -50.3509875802344 -166.860082605247 -63.9043791531963 -49.1874076476324 -34.097182229804 -57.6639052516784 -122.563464524117 -85.2393156890352 -57.0261940715883 -37.4114054455325 -50.9911067728666 -85.4390525251551 -81.8852196494735 -35.1306072720367 -58.012510009446 -50.9652883066253 -62.4731979582007 -74.4487406028088 -8.21247410148309 -99.1256923610803 -106.28514690267 -51.4078370213941 -84.3591954868671 -54.6322413665088 -91.6330952285926 -27.3516881296792 -73.6957976158561 -60.6421105032965 -33.6676967945988 -37.2883524307714 -69.1268422717491 -109.947063021212 -62.3305533797679 -53.9417648934464 -18.0714333703535 -47.2884952476979 -38.8231782004804 -56.6077790138337 -29.9322885086138 -95.0279351627369 -38.4915229926425 -89.0550526396968
198103 -8.26204515118032 1.77411986765887e-77 -58.7870706570018 -62.7945041025209 -108.630569064903 -93.3329703987825 -61.8246728864895 -19.6342662231493 -110.486491459924 -244.057949056166 -119.82360662742 -106.560758900027 -27.5206006986454 -37.4995281171545 -67.2023231627077 -73.2280805643466 -55.4480876893787 -18.1090592209103 -145.983937649887 -76.2628975758152 -59.1871032937431 -35.6764692616017 -75.4299940090846 -83.3074915306795 -44.1517662516023 -42.981864806884 -64.5178499755315 -164.117931159122 -27.3159816778801 -108.524970810226 -25.1268360869289 -49.8514320673221 -24.0997519868134 -159.249595050611 -34.7832835527549 -42.322400441989 -29.30540715095 -45.5237627811216 -18.6469210981817 -66.7193150092372 -19.7165038030819 -63.0305197817189 -55.480734952408 -93.6491735497064 -54.262161052873 -185.206978160713 -129.207484855316 -521.489320001281 -21.3837954098594 -107.792398013452 -93.9391047448445 -77.079355216772 -51.1443665391882 -71.3895253687082 -25.4299808885067 -84.6494539376655 -80.7784895187086 -43.1412133787911 -26.0923827509059 -38.6239752276641 -50.1771097002595 -166.330933132763 -63.6839562436835 -49.2314914249239 -33.0383076826298 -57.7582643590172 -122.558302732289 -84.1496175197619 -56.7675817602553 -37.2312285668319 -50.2384036820782 -84.9450790686217 -81.9252332998416 -33.9651816660216 -57.9515150888189 -50.472161501314 -62.6856748219109 -73.9347379958827 -7.54024043118799 -97.4440831782318 -106.36548728179 -51.0186233147078 -82.9637263647063 -54.5575527132121 -91.0106358573828 -27.5850228273174 -73.3512973913295 -61.0825230009609 -33.4457561501297 -37.4090142042878 -68.0350296435092 -108.513673936772 -62.143550971185 -54.0447585390578 -18.1394913643684 -46.6362014579485 -38.117324756137 -56.7346578031415 -30.1353815924694 -95.0448968416593 -38.4174312371526 -88.5073540700568
198104 -8.1940231823415 2.68604389628443e-78 -58.7666095387648 -62.8836057290503 -108.361483656145 -93.0842732102961 -60.9576789203574 -18.5199067884161 -108.276132969991 -244.463152770663 -118.159629165662 -106.119663566787 -27.0342629311794 -36.2634198153974 -67.56035736113 -72.8703959730392 -55.0491151783 -17.0208498030575 -145.69249557981 -76.0413789603419 -59.2565541819387 -35.5363612650453 -73.6176660847235 -83.442217868962 -44.2333594491789 -42.6665545442956 -64.5090810983209 -164.169470280318 -26.9624608437231 -107.296414742203 -24.883546151407 -49.0054963333831 -24.3483989350254 -159.173591755951 -34.2820503940065 -42.0585261509751 -29.3888026809803 -45.568175085385 -18.0657977493679 -66.0103003400216 -18.9078854471076 -62.0755085966539 -55.6353845169732 -93.8032122113688 -54.2060654585499 -185.253783866594 -129.14786424638 -521.445924329011 -20.0251363465541 -107.355573588546 -93.3033304922864 -76.218114231672 -51.049875938602 -71.1779570820273 -25.2942457723715 -84.4551811976266 -80.8927855784681 -41.8306252391784 -25.7229219173929 -38.5147794132027 -50.1668731312586 -166.316219071667 -63.1262640760384 -49.2976614079101 -32.9749469023022 -57.9645419121754 -122.825213601037 -84.1697745039576 -56.4709388867719 -37.028379415125 -49.8786148860215 -84.6814913658105 -81.4454616705982 -32.8824726601753 -57.8242649292335 -50.029014493098 -62.8673292132942 -73.780514468707 -7.29355926561399 -96.3125588336355 -106.514658710619 -49.6074955406963 -81.3048983651529 -54.5421667804857 -89.7870356959132 -27.4800525690048 -73.2055856672072 -61.5723657215644 -33.1612847761332 -37.4130044842953 -66.9096005600454 -108.104164651091 -61.9221271673131 -53.975327039629 -18.0993114847936 -46.2394217848797 -37.337225278455 -56.8190847848735 -30.031087496817 -95.1000220718231 -38.4084951337306 -87.5047852911399
198105 -7.92957506772687 1.36209979131173e-80 -58.3257383930878 -63.1911573707484 -108.104204210247 -92.9791313247254 -60.1200751940693 -17.0333385231369 -106.828780908101 -244.147842240324 -116.426367190436 -105.932059269028 -26.37146370704 -35.5744880533606 -67.9559362349786 -72.7048292079923 -55.0952028991092 -16.547020820684 -145.611752694398 -76.1811113573801 -59.2804514566137 -35.6072194020894 -71.5554928965469 -82.9337658893494 -44.2077894410521 -42.475201379543 -64.7418036014711 -163.905891732947 -26.88229718687 -107.310044632442 -25.0827680194566 -48.3291435534347 -24.0596131888901 -159.433150590178 -33.4864385582688 -42.1406573475008 -29.456059528278 -45.4381023032919 -17.8677136020838 -65.0454714794909 -18.600412386845 -62.1384511884884 -55.3368195199117 -93.9339553415404 -54.2612717462178 -185.283170738016 -128.930709474305 -520.177710373968 -19.2139052212764 -107.574770306474 -92.5752645247385 -75.7968147540444 -50.9130598629992 -71.0021513940487 -25.1424629324061 -83.7342991315021 -80.5038554727831 -40.9984439014455 -25.7078419654944 -38.0574059257277 -49.8569528157634 -166.382370088687 -62.2960812716585 -49.2649719845438 -32.6382377612795 -58.1581101050777 -122.512506630255 -83.7972660888575 -56.4965472922054 -36.6301819679603 -49.3535769631347 -84.5144836645238 -81.0594717395073 -31.7288677541915 -57.889013545452 -49.8524717801186 -63.3045569498481 -72.7780933212315 -6.84028987797061 -95.7472446084757 -106.969977276649 -48.5941367864446 -80.6270206147439 -54.7144937483225 -88.7542894981994 -27.45595057555 -73.0921971824926 -61.7592816776465 -32.6176230720384 -37.6804536176942 -66.7474129357026 -107.711407082804 -61.6618490486908 -54.0058782395842 -18.0805956257823 -45.9535271108705 -37.3522923368203 -57.0239766794762 -29.7593147268507 -95.2302142972463 -37.6192001914086 -87.4441440506194
198106 -7.83851365453381 1.47722829096445e-81 -58.0204681421907 -63.1939543864259 -107.737006921849 -92.9953463985897 -59.881658631309 -16.6790543472206 -105.788236985737 -243.443057235811 -115.502636549501 -105.549277465011 -26.1757204865221 -34.8832242748653 -68.1106463319512 -72.7069683694064 -54.9378493370043 -16.082086795444 -145.588532777668 -76.2805692061163 -59.0680760773739 -35.4969755411309 -70.1956434835785 -82.4132475453202 -44.2514859782786 -42.3556978411261 -64.7457467912588 -163.250386261665 -26.6035230561828 -107.105793709501 -24.9792051950119 -46.992286380136 -24.0638119849484 -159.649175252176 -33.4768817512948 -42.1665019369918 -29.5777417075354 -45.5593628282355 -17.7305096838062 -64.6262285832618 -17.7370241903892 -61.7692886994329 -55.1876588554624 -93.9152453840168 -54.0287257999562 -185.218219373058 -128.815825413073 -518.915725741881 -18.730619535798 -107.521994948663 -91.768237773575 -75.6500285234268 -50.8484592835972 -70.9242607211981 -24.9336017942422 -83.5986094231102 -80.3559140858893 -40.5365048997895 -25.7288300225966 -37.5057811995565 -49.5873511762433 -166.007916980074 -61.9377674429519 -49.1359612106552 -32.6255569381107 -58.2155479028463 -122.123250872388 -83.7822226221288 -56.1341035629417 -36.4991883537224 -49.3649572669727 -84.3632253510658 -80.9475880862811 -30.4240098854775 -57.8581500833013 -49.5623974764635 -63.3959930567914 -71.7748506705314 -6.47509407955316 -95.2334310767847 -107.160315061474 -47.9280131003768 -79.7602103497187 -54.7798675911334 -87.9586111869698 -27.4396690105136 -72.9575791066688 -61.891703852144 -32.5179734929691 -37.6927936592585 -66.4653279176481 -107.01378520241 -61.4746050126438 -53.9080195591461 -17.9804632540384 -45.6322203744317 -37.2318849922304 -57.1705212667471 -29.5574844624486 -95.4274299253218 -37.5768715648814 -87.1178674093984
198107 -7.70925169793384 2.25493364962263e-82 -57.6050228725076 -63.4083711660516 -107.580214542723 -93.0501736878255 -59.6190850050765 -16.3445319718549 -104.391128961441 -242.75841696426 -115.151689568296 -104.996745332564 -25.9833959905976 -34.2027578546075 -68.4799869042236 -72.5092264835983 -54.5759181581283 -15.4096287054499 -145.694244429739 -76.0375013260006 -58.9273757701127 -35.4645283925233 -68.9612813529479 -82.0458555588514 -43.8197191348556 -42.2847046119746 -64.7151299818685 -162.249816543721 -26.5492325302057 -105.723505592456 -24.7466060810428 -45.5674050129001 -23.5282933167913 -159.700284899944 -33.2102119014138 -42.1112432879904 -29.5407518879154 -45.7646243828567 -17.2467113911229 -64.0178345272531 -16.9115365376084 -61.8535681158504 -54.6923711476136 -93.4364986062512 -54.1705487385179 -185.080824534417 -128.865675121832 -517.759360687028 -17.678330145961 -107.497150675344 -90.8706605179532 -75.2068969989081 -50.5729436085543 -70.7795103408868 -24.5517928222721 -83.0306288725986 -79.6700493195932 -39.816222640475 -25.7851230834652 -37.5676722290562 -48.9615887930464 -165.393834873241 -61.0022360611316 -48.7807549800402 -32.8629440899598 -58.3631753678289 -122.183353956137 -83.3757335576996 -55.9702207908673 -36.0829280088538 -49.3432995254683 -84.0484292251582 -80.6367710340806 -29.0809466015394 -57.3817523640055 -49.3663284291485 -63.5647893759614 -70.6762949167459 -5.69615509389012 -94.2700736523781 -107.388339340021 -46.5038092847337 -78.6734288237526 -54.8936822515369 -86.8666856935878 -27.5551158211199 -72.4730893568953 -62.1055992996555 -32.6107527296923 -37.8773589933282 -66.1319264725665 -106.639903202177 -61.1778613099542 -53.7947568001114 -17.7488525043648 -45.3823419775707 -37.2161836646896 -57.2985713169906 -29.2726569385264 -95.8615790149934 -37.3449288380187 -86.9061548213081
198108 -7.62339655224795 3.99585080351179e-83 -57.1731507333574 -63.504946992367 -107.626707660446 -92.7987905825424 -59.2857584790863 -15.4898739210546 -103.394921538641 -242.420250165658 -114.527805395286 -104.936725930419 -24.9482888452152 -33.6584926664672 -68.6521268776124 -71.952422211405 -54.2087961664657 -14.9644279427276 -145.809171815571 -75.7511606935827 -58.5322077514463 -35.606068349035 -67.3566923218954 -81.6537643614434 -43.749167033789 -42.2844708649986 -64.7076317655334 -162.064018752189 -26.2969062547014 -104.822544467485 -24.6734798163189 -44.6664265877708 -23.2877039048174 -159.681771672266 -33.1704748177751 -42.0055518580483 -29.2645969706722 -45.8824067193458 -17.0766402383942 -63.2896528548335 -16.23927177341 -61.7058208733898 -54.6015366882556 -93.0044907031317 -54.0824526421449 -184.74087376732 -128.727286118042 -516.000348740793 -17.2980437431093 -107.195603232422 -90.8745598672535 -74.5847338514851 -50.6548245772848 -70.7175091854245 -24.1055836867012 -83.0242754267801 -79.5126866825759 -39.4447300277621 -25.8685460686852 -37.3780022219208 -48.6203123278256 -164.124136482304 -60.6658058380549 -48.5231709266966 -32.944194269544 -58.0379014142655 -121.868582030133 -82.6169323591765 -56.1462724222347 -35.8263752546614 -48.8194252468301 -83.9009326610606 -80.5624380854577 -28.7942772066401 -57.2848898889681 -49.1004184538402 -63.5654370309758 -69.9357546076863 -5.37748875977431 -94.1142118336889 -107.552684752235 -46.0438489214003 -77.6562217024518 -55.0163053756313 -86.0677351588199 -27.7221779660997 -72.6236965057838 -62.2866511371817 -32.5203577326692 -37.9842345856796 -65.2601495841021 -106.532722403414 -60.7215944954175 -53.6755508788141 -17.4770481874095 -45.261565231337 -37.0933078719122 -57.0750986809529 -29.1652904624781 -95.9854915812981 -37.127847169331 -86.7897010866553
198109 -7.57199139633875 1.86118042439885e-83 -56.2406512035236 -63.7752264234443 -107.438152280222 -92.8183976993001 -58.3320893035246 -15.2122995949798 -102.669113525762 -242.338000968001 -113.320488570228 -104.947741520285 -25.1081879449478 -32.9428121849804 -68.9093052467257 -71.6034022725116 -54.1842377562777 -14.6428757440338 -145.936765644443 -75.5579607126571 -58.503346149892 -35.639941004224 -66.2431486993891 -81.4734108675108 -43.615317893934 -42.173727648729 -64.84676331827 -161.533646962988 -26.1178714607542 -103.775476031292 -24.745851623246 -44.0575379772838 -23.4617093997535 -159.148585147017 -33.0920297235856 -42.2202082219522 -29.0886967353002 -45.8907788250976 -17.0699440178652 -62.7637061258395 -15.7436325464237 -61.3545438875819 -54.6321619877145 -92.8200107829848 -54.1035984707307 -184.716843212162 -128.724810522136 -515.308983033456 -16.9891747229528 -107.264810140201 -90.6126252062804 -74.2371101180108 -50.3312531305615 -70.6027319255275 -24.2305012303923 -82.7820207674566 -79.3134627394846 -39.2748416900298 -26.0854248673865 -37.1483923122106 -48.729131724117 -163.428193467987 -60.2278061554119 -48.6054546019461 -33.037934583862 -58.0785746348569 -121.495786006012 -81.4030115840382 -56.2985753999603 -35.6871632353547 -48.6206652054616 -83.9580029544144 -80.2846766333298 -27.8543226443152 -56.5585376270324 -49.2204794877622 -63.7961910765247 -69.4968049718449 -4.96720064015379 -93.60231036243 -107.849241310077 -45.0529997517946 -76.6098327020702 -55.2169736990837 -85.096633557016 -27.8604529788876 -72.6176688816367 -62.1343494724853 -32.2435072896114 -38.2240746270278 -64.3702863470513 -106.020549011226 -60.798804890702 -53.6270629308558 -17.4620786735205 -44.9436235473462 -36.5279308430171 -56.9093554610134 -28.9741816133503 -96.2322759903909 -36.7431379474866 -86.6751861435995
198110 -7.54117287215033 1.04652530290417e-83 -55.764807358876 -63.6840277292936 -107.445691088849 -92.7507270427579 -58.2751705140496 -14.7995311800152 -101.764856535163 -242.23356375281 -112.523852685564 -104.689039450704 -24.8676005435206 -32.3081688461079 -68.9025671785869 -71.5350053704909 -54.1436595148395 -14.650226529585 -145.884442881993 -75.530753419866 -58.5052785809901 -35.6485865641364 -64.6933641752288 -81.3322881781915 -43.5764562192665 -42.1939341722749 -64.6459060853465 -161.314525872707 -26.0644390278371 -103.16362705182 -24.7266693668043 -42.9876625586482 -23.4792404122386 -159.104316472923 -33.0888602414818 -42.2152318722844 -29.0592535906263 -45.8849607038099 -17.0452073110832 -62.676735085784 -14.8808385384934 -61.1541897886035 -54.6477550944439 -92.8395527750081 -53.9494432508587 -184.620697178465 -128.62766556118 -514.216295404962 -16.959449101109 -107.144322718166 -90.1725709628524 -73.9470397055202 -50.3431899169933 -70.621697934856 -24.2239825507802 -82.7317493001325 -79.2026892123414 -39.0031410303323 -26.1031095040732 -36.5910661051056 -48.6815770653913 -162.527177148115 -60.1556615239136 -48.6188839571101 -33.0198940257717 -57.841064316299 -120.979171082975 -80.9290982407897 -56.2948543279875 -35.6200252627894 -48.6184607242543 -83.5865480782175 -80.0713054448515 -27.3068688538161 -56.4082055832551 -49.2052341799823 -63.8092636632122 -69.1482274577071 -4.83562576920467 -93.4275628671822 -107.777769701914 -44.9000191285414 -76.1019962080979 -55.1027520303631 -84.7367527795233 -27.872530569581 -72.5625335780473 -62.1366805366509 -31.9948811783491 -38.2415996402553 -64.0716768288604 -105.38420913779 -60.64264578824 -53.5828366026244 -17.2969410104833 -44.8157429491856 -36.3297693789833 -56.8967338709989 -28.9886304479612 -96.2185718217295 -36.5648296695261 -86.4729906670637
