"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103"
198001 -8.11839667967189 0.000512591335115237 -12.3234431260433 -15.6095451779472 -14.9078626712294 -17.8648746501667 -10.770855069171 -15.9958773685437 -18.0849462166025 -14.0450887608945 -10.5297585719315 -15.8588580376847 -15.4255802970704 -10.8411648270331 -9.96921873387047 -12.0587062117063 -15.5418289569658 -13.2922675328956 -11.0260921969312 -16.598266024474 -15.7529142599153 -13.0039938160758 -14.2719547827341 -11.2814456095881 -10.1381216256861 -17.4795514537809 -13.0702456369306 -11.2348110274696 -11.5863874710159 -13.5394213731754 -13.4034425001611 -13.8953757863698 -13.4165883868881 -14.0478324075735 -15.6517120687582 -13.7824415375561 -10.4103403643348 -14.4831597287213 -12.6446815515266 -11.8550037812769 -15.4949644899958 -18.8413144316958 -16.3339581990708 -13.283990096615 -18.4576479840129 -15.3310181368256 -13.0922359655171 -9.63419590711612 -10.1438711035399 -17.0265940377078 -17.3721482972543 -8.33995262103713 -14.7744092573167 -13.4573335609985 -9.2295455838507 -15.121935903041 -16.153239323456 -12.5783764865759 -13.3819545550916 -13.9172660936517 -13.1890264622967 -10.2236147629214 -13.0821155359057 -14.6510947672779 -16.5619205314454 -12.1646965238771 -8.14690326069059 -16.6871281798113 -14.9889373404543 -15.0421261713231 -9.34690437926522 -12.4494847786714 -13.7181057656082 -14.8132659847953 -13.2612397806921 -16.2375534690546 -12.6706958790394 -14.1564542580383 -12.7880009922432 -15.5893233804902 -9.83644589561485 -13.6846376403191 -12.4310597066896 -14.0862460875913 -10.8646549769148 -12.2332133333965 -14.9424371340178 -14.3761795633464 -16.1080222980928 -18.3679996464579 -15.6112431079704 -14.032127429131 -13.8703603505852 -14.0886992580702 -10.9957901025411 -10.978244296813 -11.013287024385 -14.022599710007 -13.5065865317129 -11.6556773818769 -10.895305093725 -8.24610793811509
198002 -8.08054901615647 0.000384404268355514 -12.7199836383601 -15.4027251101176 -15.5952200780062 -18.2341424915702 -10.3421725222579 -16.6536072556819 -17.7304952480872 -13.8935396936963 -9.4112821066807 -15.9233260877522 -15.1569719404809 -10.9210175403324 -9.45392420700966 -12.5488124079995 -15.2445755392279 -13.2964372933633 -10.9594480482022 -16.9727429762744 -15.7192855615642 -13.182047452533 -13.8990073274019 -11.595932118612 -9.46741832725944 -17.3328458289453 -13.0019648524232 -10.6513757237794 -11.7840499162878 -12.7592544307264 -13.5653829138121 -13.9633383467813 -12.9486970947986 -13.6550815420916 -15.4609329068606 -13.6202152984171 -9.84130549898068 -14.5247942083867 -12.8134698242858 -12.5783748455417 -15.3036257482848 -18.8200688673123 -16.4055287124379 -12.9349878314233 -18.890668036532 -15.5492572254053 -13.4026579971249 -9.79342963985506 -10.0125484926035 -16.9449174178654 -17.7753765095472 -8.84027154850358 -15.3378475640747 -13.419932840248 -9.26051798475729 -15.4043345486767 -16.132288873259 -12.7245878809787 -13.7591569538073 -13.8575281725704 -13.3288527414737 -10.6468711018216 -13.1359110565217 -14.6914421803144 -16.1064144223646 -12.3223006907291 -8.50986064866699 -16.4616586672427 -14.8886361283798 -15.7138647509062 -9.04327404337506 -12.3927107238533 -14.3633181063703 -14.4298658646016 -12.5668638355612 -15.2929445167753 -12.6699444465644 -12.9272206961115 -12.6375069805823 -15.7251062818109 -9.71123287799098 -13.7698142179488 -12.2812660680092 -14.0617105847727 -11.2854625606025 -12.5202930448536 -15.1256804022436 -14.2246294924954 -15.2242160918769 -18.6466118521047 -15.6134433696468 -14.1137632180439 -14.0396493757781 -13.2884609751961 -10.1557206894247 -11.4636772089073 -11.259744929261 -14.4382336105194 -12.4727402503889 -11.3440978607783 -11.1777941398111 -8.34625751946019
198003 -7.81742593843331 2.36532512620689e-05 -12.5239570499095 -15.488228517912 -15.7022883488664 -18.3660065586727 -10.5029660379913 -16.405257058287 -17.7114208422724 -14.2707981466522 -9.60327968130332 -16.1700944949862 -14.8763790279994 -10.6746642063713 -9.4662291525953 -12.0315820696022 -15.0171738855569 -13.6323987715567 -11.2989974361069 -17.2330124766072 -15.8185300504613 -13.2246653059463 -14.303376462127 -11.6391714305028 -9.67439566320769 -17.3560680683805 -12.9784940243239 -10.5445797358266 -11.6641689059064 -12.5388400362268 -13.592256364197 -14.2889025169487 -13.0940396089497 -13.9289754521892 -14.7010150933631 -13.4954008514216 -9.5822270693219 -14.8335949243569 -12.0877713274978 -12.9657951808445 -15.3951557260165 -19.1081137223651 -16.3904668073908 -12.8631415976133 -19.1094294858042 -15.4597783653715 -13.1478397993799 -9.99746466150297 -10.1814016953333 -16.9277778662584 -17.7420802853889 -8.93699843424458 -15.4227132773693 -13.0774966118921 -9.4396008684932 -15.5754445960218 -16.2917024320777 -12.5391877486064 -13.5229613729195 -13.8468397360434 -13.5645286030991 -10.7608541517938 -13.1662145613717 -14.7649701578148 -16.0657616976183 -12.4618354221359 -8.16592969123906 -16.6082064716097 -14.8297817700918 -15.2533639002005 -9.11055552164441 -12.3553161406927 -14.6203064608501 -14.234568978025 -12.8109332661534 -15.585330999021 -12.8009672567708 -12.7316543943577 -12.9332746456353 -14.9044698615464 -9.73490444404557 -13.9634719030595 -11.9313496560658 -14.0493839757762 -10.9782150747269 -12.343125102684 -14.27606421671 -14.5479436130368 -15.6192755475841 -18.8584850654339 -15.3369601788086 -14.4338668448301 -13.9521404398281 -13.1040849169843 -9.89368604423233 -11.4446399871416 -11.1600919641953 -14.6324458793584 -12.27707274477 -11.0847039987854 -11.0707568004156 -8.25134059462147
198004 -7.85494178681994 2.52021357147291e-05 -12.5456283163439 -15.5032962239907 -15.7448981703852 -18.383598463219 -10.5169884718612 -16.4521022048138 -17.725569689651 -14.3067203364188 -9.57651157598605 -16.1946011928432 -14.9191107135386 -10.6143444488424 -9.49891415609521 -12.0407143655191 -15.0112299430476 -13.6742084163762 -11.3394891707987 -17.1356666442039 -15.8268822962985 -13.0705978059189 -14.3465413427642 -11.5470397886785 -9.68384496552468 -17.3009359165022 -13.0231650026155 -10.5830679931509 -11.6960664666161 -12.577653603804 -13.6331328141148 -14.3335752053956 -13.1351397768774 -13.8940368929985 -14.7469425004322 -13.5407097517482 -9.57316655124179 -14.8795709165338 -12.0224103831998 -12.9981706216943 -15.4298225269029 -19.1276447370494 -16.4159525846817 -12.892646243356 -19.0964384539167 -15.2107750083725 -13.1413362289895 -10.0378405388486 -10.1851179585573 -16.9728621525276 -17.706908935229 -8.9403155470243 -15.4472548148166 -13.1026218955853 -9.46562564469544 -15.5919173583051 -16.199846613293 -12.5527121600145 -13.522293341603 -13.8563535323811 -13.6058746860361 -10.7969669327982 -13.2003276186193 -14.8106145999487 -15.9379227584716 -12.3449064871039 -8.19148054834922 -16.6093840522739 -14.862430163422 -15.1608352633739 -9.14794167059989 -12.3942530789759 -14.5930356050558 -14.2517524044554 -12.8392273825046 -15.437291273882 -12.8461369591615 -12.7643193743835 -12.8808398314017 -14.9506517200424 -9.77693593929843 -13.9931875087439 -11.6844515459329 -14.0942922703491 -10.9737646953654 -12.3851434088419 -14.2943169181312 -14.5932473073883 -15.4560117214845 -18.8611609241756 -15.2505431992877 -14.3362178831434 -13.8999948693681 -13.1351341691711 -9.90620910827438 -10.6985079973589 -11.1890722067826 -14.6645759146316 -12.3222658357712 -10.9155725276088 -11.1154414335181 -8.29481868595825
198005 -7.84846116164912 2.41408905110435e-05 -12.5004285706563 -15.4764754221087 -15.7139189508005 -18.3226490160637 -10.4148766010727 -16.4110496195786 -17.6212353474895 -14.2346529667273 -9.55011093721672 -16.1722352398533 -14.9165323715313 -10.5965169578687 -9.46408476172482 -12.0388033364281 -14.9181003283835 -13.662456918127 -11.1317200623307 -17.1314126687506 -15.8084063519025 -13.0153245367988 -14.3351212683046 -11.3874661680778 -9.57468196988833 -17.2988715857148 -12.9692884601914 -10.5815653349572 -11.6208081922346 -12.5744585069874 -13.6325245455009 -13.9289706971756 -13.1328502722084 -13.8939788814542 -14.6764351093143 -13.4416081343464 -9.55871279595597 -14.8683375430008 -12.0174411199171 -12.9775569823924 -15.3894881913732 -19.1176972347291 -16.4152545051824 -12.7913681910048 -19.0798823487027 -15.162779006826 -13.1272673839974 -9.94030218801139 -10.1424206931433 -16.9704964194439 -17.7043484640808 -8.94020615322459 -15.1008416581109 -13.0914486728668 -9.41711789204733 -15.5907826566532 -16.1983190750121 -12.552863485726 -13.4675711593301 -13.752355596073 -13.4788488614708 -10.7477650820319 -13.1804299044697 -14.7808254220305 -15.9105042887482 -12.2613691695952 -8.18506061131763 -16.550955484161 -14.8563405963551 -15.1420174825779 -9.07086777180666 -12.3945582077296 -14.4341829643546 -14.0877090159294 -12.8110269248934 -15.4046210518361 -12.8203965025122 -12.7178011110308 -12.8750078581717 -14.9450910555009 -9.72055319764669 -13.9128845958603 -11.6392567752469 -14.0843388073093 -10.9687829006617 -12.3854384180062 -14.2840098212814 -14.4713112561431 -15.4407010329937 -18.8491556019178 -15.2446960734751 -14.3301743410221 -13.8913091991408 -13.1026938925053 -9.88373142569359 -10.6944629624218 -11.1211600996306 -14.6644702119609 -12.3205315862488 -10.8349165173859 -11.1155944319252 -8.28756433854976
198006 -7.84698324169206 2.50105614160864e-05 -12.4773106015776 -15.384801105394 -15.7089024589058 -18.2688023134392 -10.3518959891398 -16.4173279754034 -17.4945004452077 -14.0828267941302 -9.56140715928131 -16.1706833702215 -14.8022973147966 -10.6096389112645 -9.46208342596055 -12.0218626501791 -14.7714507911528 -13.5596659773132 -11.1343980432887 -17.1228354821094 -15.7737722885732 -13.0282115466469 -14.2372139586926 -11.3582239969219 -9.47486219751894 -17.2554485545611 -12.9812995938561 -10.4840053269639 -11.5469717460102 -12.5202993203257 -13.6039264594641 -13.9369405988135 -13.0082768763217 -13.8713848470729 -14.4946542559492 -13.4495816982678 -9.56934693877081 -14.8139609959428 -11.6944747505446 -12.9586567839219 -15.3882163634758 -19.1278712875149 -16.4017349590717 -12.6569173907889 -19.0898900220569 -15.16659066104 -13.1045547046157 -9.90929541077319 -10.1449310790676 -16.9843406330124 -17.7173351043908 -8.86852370688698 -14.9343738274377 -12.9295962893064 -9.4299847725064 -15.6029615237985 -16.0888788337226 -12.566231357944 -13.4022765098976 -13.559160301848 -13.4869119482825 -10.5660455315957 -13.1903805922543 -14.7693442111663 -15.9040514726312 -12.218740380808 -8.15911188186009 -16.4651571477176 -14.7424158555998 -15.1388694083391 -9.04587473412912 -12.3247079470633 -14.2778858145925 -14.0402369468415 -12.6727860526075 -15.3956445051716 -12.8144877711537 -12.6108168055782 -12.6848530501731 -14.9578341582616 -9.71777078032559 -13.6414257033101 -11.5773817821987 -13.9552200552001 -10.8587886185728 -12.3552274283367 -14.2966691902037 -14.4415984578208 -15.2918859660943 -18.7651790736745 -15.0289882546256 -14.3103480296202 -13.7431081860491 -13.0036966162684 -9.85499264731526 -10.4063077067559 -11.1342808193185 -14.6040899607006 -12.3051402143986 -10.6623776731659 -11.1059696769509 -8.26731366785192
198007 -7.79695957599447 1.98919709935647e-05 -12.1505516747499 -15.4332677180516 -15.3504741003541 -18.1841623429982 -10.1419299646408 -16.4647446555314 -17.2777328583315 -14.1657476268549 -9.58329760848211 -16.2193809084022 -14.7973376658217 -10.5019128882032 -9.56269155682477 -12.0971263464422 -14.3432555168896 -13.5020008240882 -11.2417058952774 -17.1340322566449 -15.8129328370127 -12.6530448112482 -14.2657247291888 -11.1276735507591 -9.33194363251621 -17.2151322965889 -12.6123969642593 -10.5149359996997 -11.6387118204766 -12.3228538246565 -13.3872832084119 -14.0424825369344 -12.6837088959716 -13.6872447815964 -14.5295592136993 -13.3324261004201 -9.60044445982708 -14.8113011340873 -11.7263468712344 -13.0650443240387 -15.3005238835929 -19.0891617856743 -16.3793702828706 -12.4156113577404 -19.1302602801725 -15.1626140179837 -13.1100945438427 -9.48981932859403 -10.2387361157715 -16.9452503614621 -17.6078176569163 -8.96968679064345 -15.0348313336304 -12.9469661888863 -9.50797293642387 -15.6761351575308 -16.149277725363 -12.5910555266051 -13.4334635456538 -13.4648928659374 -13.3019617744641 -10.4753349311757 -13.2839483435961 -14.6868554012039 -15.938285156417 -12.1694968866372 -8.26033736367264 -16.3984281766532 -14.5789713193261 -15.1815786949281 -9.11037339553575 -12.3772250455067 -14.2178069535697 -13.6318250677168 -12.0397908892807 -15.4964616188971 -12.8967978150993 -12.645964571128 -12.6588013695089 -14.9036498833669 -9.6507899860174 -13.3518053761068 -11.3309276442723 -13.9232261700228 -10.8415766328416 -12.4611224469703 -14.1991627735045 -14.4681566034985 -15.3938096222701 -18.8301815011489 -15.0701351410461 -14.3125708248616 -13.7036612368562 -13.0270080681718 -9.76993001280884 -10.4552785940621 -11.0441455939055 -14.5575756083564 -12.337540272904 -10.7471779350772 -11.1075171107383 -8.1832014196328
198008 -7.68658832336018 8.83466325645309e-06 -12.143239066035 -15.3809746084571 -15.3505528498358 -18.1651645039609 -10.1914284675282 -16.3474613662842 -17.326453993394 -14.2154561877189 -9.61755744062953 -16.1602883420838 -14.6758668530113 -10.5521590035853 -9.53627219305551 -12.0264487327535 -14.3899755223536 -13.5248293872197 -11.1345107357228 -17.1696933697035 -15.7597116349696 -12.7051343478047 -14.2362429199827 -11.095199331778 -9.36627583382485 -17.2690229088122 -12.6585337758367 -10.5409821797046 -11.575666598865 -12.2842310187905 -13.3722396548709 -14.0498532264312 -12.6990796879614 -13.451255835366 -14.3821752515337 -13.3779613796279 -9.55804606975665 -14.8047635718786 -11.7719708021001 -13.1123071150349 -15.347462140452 -19.0935517224858 -16.3885986810146 -12.46764020249 -19.1734713391149 -15.2008769282338 -13.1415225559347 -9.48906157267453 -10.2896987845345 -16.9953866524794 -17.6572026467474 -8.9604516720329 -15.0859037882842 -12.9795754048564 -9.42863311509674 -15.7079105878271 -16.2025580917706 -12.4799421071454 -13.0723443189547 -13.4848241118747 -13.3024349930221 -10.4975284024125 -13.3360007288661 -14.7361691959468 -15.9416124099407 -12.2062135632051 -8.27883395189954 -16.3433745533255 -14.579094682263 -15.1900875354748 -9.16003478095966 -11.9932744343992 -14.1790018317151 -13.6832904232367 -12.0427927679512 -15.5483316555713 -12.9486652220391 -12.6467666657163 -12.6966086778604 -14.9567617952048 -9.68563149526269 -13.248451028697 -11.2728960334332 -13.8642332653711 -10.8021501493679 -12.5123880902403 -14.2433727811537 -14.4127164082639 -15.4315273196523 -18.7831968916645 -15.0326581288031 -14.3343692294936 -13.7257769002099 -12.9426182513694 -9.68935054214726 -10.4738680837406 -11.0348792408797 -14.5697825080541 -12.3770990114591 -10.79093353926 -11.1356231658554 -8.18013640405322
198009 -7.67159827746 7.88340331097647e-06 -12.1809382412932 -15.3749992137167 -15.3895784541075 -18.1835992621756 -10.1503644546305 -16.3555410768388 -17.2901074628833 -14.2536495509363 -9.65311534079649 -16.122693375017 -14.7108898046078 -10.5166336739923 -9.56122345460679 -11.8903045231808 -14.399946155907 -13.5135211572384 -11.1193403694215 -17.208195293273 -15.7983507167795 -12.7021963462843 -14.1157509308009 -11.1309291449355 -9.4026686023128 -17.3018305693861 -12.696863074512 -10.5532209657471 -11.4755315244194 -12.3154870350359 -13.3606415529855 -13.9831464596488 -12.6816555850356 -13.4498377575051 -14.404607948649 -13.3484681697724 -9.59240088689359 -14.8187040373487 -11.8100877748813 -13.1063143956544 -15.3649314806454 -19.0988279591445 -16.4047328163548 -12.4468064299041 -19.2091118033167 -15.2345928524474 -13.1727820737986 -9.51414332322791 -10.2909485455239 -17.0081935946649 -17.6900344163315 -8.84858915596054 -15.1015397062848 -12.9951043866189 -9.36822530504047 -15.6154376396005 -16.239680309532 -12.3318111110716 -13.0352403985997 -13.4566286479697 -13.2531913778229 -10.5290994496345 -13.3745381751345 -14.7465710690104 -15.906726971171 -12.2399853741362 -8.31416655598334 -16.3829048787067 -14.5494479118352 -15.2226689065794 -9.15953379546286 -12.0275517192854 -14.1990420391172 -13.6890119777471 -12.0654717889633 -15.587676507558 -12.8756176916795 -12.6809166287943 -12.462643203287 -14.9940441736825 -9.72220727296451 -13.2862318262926 -11.3069904016427 -13.9028907693394 -10.6753810825612 -12.5475406344981 -14.1555050227486 -14.4206914039343 -15.4424579445239 -18.733248070799 -15.0398691862662 -14.3697182305096 -13.6591300820912 -12.9712538697385 -9.72578314433945 -10.3587920275812 -11.0632781985248 -14.6060949218178 -12.4013468370027 -10.7876053538378 -10.9895448067131 -8.20724664372867
198010 -7.70120417860156 1.14077974390256e-05 -12.194763309914 -15.395445095021 -15.341088908681 -18.0500400194562 -10.1607402792379 -16.3770464271463 -17.313187153082 -14.2849052719383 -9.62894905882665 -15.9489926204968 -14.7395436672959 -10.4851277390252 -9.50794657567577 -11.879779218224 -14.3658007473887 -13.5419900908599 -11.1446195824734 -17.2222934107623 -15.7594830700727 -12.7146129724978 -14.0898817533069 -11.1599214700894 -9.385693040846 -17.2672243881405 -12.6809944807371 -10.5367854619016 -11.425256429263 -12.1811065594204 -13.3822488720417 -13.9999352997146 -12.4791173758856 -13.2759177387632 -14.3975668935006 -13.3309711238619 -9.60227314406004 -14.8217064015491 -11.8425330860196 -13.1394476024625 -15.359227059744 -19.0837963957606 -16.366651619113 -12.3713270121977 -19.1304221301438 -15.1742631306378 -13.1620244864733 -9.50108798220575 -10.3057870324032 -17.0421941313253 -17.585258940013 -8.83161044510188 -15.1005944575183 -12.9903115733316 -9.30605252768564 -15.6144960406825 -16.2550192831945 -12.3172883326067 -12.9729180079509 -13.4507591393725 -13.279460097701 -10.5604209613174 -13.1933112797834 -14.7368794391264 -15.940142923709 -12.2523488594723 -8.32868330732659 -16.4169045683031 -14.56249016091 -15.2564319654768 -9.07236322180078 -12.002811952857 -14.2078719050045 -13.7071819990229 -12.0981424967998 -15.6180561463108 -12.8388893550994 -12.7056839693555 -12.4924111040224 -15.0066220097786 -9.75310129480393 -13.3105358369576 -11.3231450140512 -13.9164820221322 -10.1809756774998 -12.575712457648 -14.1720834392061 -14.4510453141966 -15.4374894705578 -18.7172794522407 -15.0039116436628 -14.294223405538 -13.6841102893414 -13.0029687142162 -9.72131522191006 -10.3553158556773 -11.080927403629 -14.6176111251942 -12.3954210375766 -10.8200762087873 -11.0202627491137 -8.23648471052227
