"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103"
198001 -9.23286187104935 3.48344004028799e-11 -21.8645394997562 -19.8272714425215 -19.1374323667511 -26.9047952465368 -21.2860923636853 -21.1606793491875 -20.1044197099345 -17.3284822589088 -17.4304930284412 -20.5934893239007 -15.9715782453484 -19.2269946435709 -23.2048480381176 -15.5036868168726 -16.1896524239032 -13.5556157233456 -6.99915504931938 -15.7091782355259 -18.5662808338441 -16.9062569214076 -16.1207511983614 -16.4837258812282 -16.9908083967783 -19.5697564672319 -13.9089747309711 -15.6976753479136 -17.8426089021436 -16.7604925534533 -11.494772161779 -20.6383348242394 -15.4689141215624 -14.639692515781 -16.7718427540618 -18.779195592985 -14.1609607263604 -25.8228076313708 -12.6987091720178 -12.9229820947429 -15.2439087967594 -16.5308548528035 -18.0044503850204 -12.2392892191221 -18.2589248237616 -10.8307386408772 -19.7510023978742 -17.7556772585192 -21.8885200913328 -22.752499384762 -21.0002151210908 -16.574437638486 -21.8316794525129 -15.6818214647495 -20.9764758613108 -23.8647992819022 -12.2589488654449 -17.5634845719595 -12.2730313143657 -23.5754458387855 -23.9390018325146 -15.0019890395348 -16.7757474988416 -17.3747904433289 -15.4319869964041 -17.7969399940185 -18.6325458791922 -21.5224824375305 -19.7019803423032 -22.1317239738006 -16.2655276969357 -21.0992457243921 -16.8463944432279 -21.1977412020184 -16.336376997581 -22.344389377985 -22.9475458975579 -11.3704810806305 -19.1856245548781 -20.8776125176978 -16.3826909690156 -16.8171473784028 -21.0654111545293 -15.1056308508963 -19.6651404493935 -15.9416009024777 -19.7457268720929 -15.887950786534 -25.0218560646698 -11.488571413629 -18.1692550103238 -16.2280632324233 -17.1504153969126 -16.0734416632357 -12.5199043978486 -18.323084164461 -12.079967903489 -15.8698116846549 -20.934264529728 -18.1978908628364 -16.8133261771019 -18.1286947310178
198002 -9.10403360869248 1.29201521763493e-11 -22.7372188500776 -19.4641678797021 -19.5192257737145 -25.9621958033109 -20.5483995386735 -21.8157470510139 -20.5097376870718 -18.7325109222231 -17.0793185113771 -21.6485693551616 -16.4367082270564 -18.9422867973912 -22.7383672518004 -14.1928209695844 -16.8326211747492 -13.9396689862002 -4.88179203186199 -15.977537691494 -19.8653957939432 -16.894759953836 -17.1673324619758 -16.816402146216 -18.2306786873176 -19.7595011170281 -14.5665840849823 -16.2074036728345 -19.0335945258832 -16.4204249085546 -11.4998789883424 -21.9133061990191 -16.1105769752338 -15.3135033875241 -16.7807105352016 -18.4641977886462 -13.7931476809495 -26.5097001205251 -13.2356318957182 -13.8850353371769 -14.8123063437442 -17.4948393217409 -18.6536575853378 -11.8601161674431 -17.7832186185626 -11.6096479365344 -19.2889718421186 -17.9497458416278 -22.0418765978631 -21.9491081352432 -20.9941538196726 -16.7478284436262 -22.2445002805659 -15.658130036782 -21.4592361431745 -25.2796098535745 -13.9859060521321 -15.9697544166094 -12.5120997923204 -23.4925641454418 -23.6275851353195 -15.603440056298 -17.6828957763597 -17.2346571581729 -15.4696500102006 -17.7815469330532 -19.1620973463555 -21.6184484276442 -20.7372135620695 -21.2082892600286 -16.9679757412228 -22.7032090390469 -16.6490936720133 -20.1062431081419 -16.643398847375 -22.2994465951267 -23.2981190557538 -12.4730777934067 -20.1014061266616 -21.1748407031188 -17.4101071353012 -18.0351392099996 -20.4317471919103 -16.5363711007964 -20.5344537396179 -16.299456311444 -21.0585491362962 -15.5493615241482 -25.2528399761397 -11.3760200191315 -19.0772408167371 -16.7264551311495 -17.5660838871247 -17.0860871522844 -12.364548071739 -18.5919297258089 -12.410306118413 -16.8260032094947 -21.2252817626614 -18.777271862299 -16.249472184623 -17.4199092429742
198003 -8.41281470652713 5.71441609935896e-17 -22.7412256046016 -19.2964197038445 -19.3398959432735 -25.8956534374018 -20.4717023693684 -21.9402888537868 -19.8386301971788 -18.6832478946674 -17.1690708139833 -21.8007163598562 -16.4601621171468 -19.0961969440081 -22.7723059411654 -13.7292739578932 -16.8834862555571 -13.73987935359 -4.91628057005762 -16.163266398347 -19.5977751243064 -16.6497761001555 -17.2426234993238 -17.0216296577697 -18.0548531905057 -19.8333851001608 -14.1715883976143 -16.0897077943297 -18.4647737312911 -16.2609571035114 -11.5839153381274 -21.7236188931932 -15.2413225371568 -14.8887898610446 -16.5873540878543 -18.324234510499 -13.8240158599679 -26.5338616030524 -12.6332982653147 -14.081242561444 -14.4660355891665 -17.0831860089145 -18.5135753796721 -11.6057708775546 -17.8602366829807 -10.5602103475654 -19.0573785852088 -18.0999712917008 -21.5867349176559 -21.9608905526689 -20.9095621400472 -16.8629295174859 -22.3034987205989 -15.3957829168393 -21.2751677992484 -25.2824786274589 -14.1855710333546 -15.7901066828254 -12.5124417730087 -23.6928044050499 -23.7797104994095 -15.6811265082786 -17.8116325564666 -17.2904054069562 -15.5944762354678 -17.7571797554974 -19.06225424515 -21.236701793154 -20.5556742538243 -21.2279497455796 -17.1653216212862 -22.5133099049917 -16.5641586726226 -20.1682597037539 -16.4222698483879 -22.1652674017352 -23.4517500502434 -12.2235359851731 -19.7814579593155 -19.877351579745 -17.5798380685799 -17.501135817342 -20.1405784553281 -16.523779342535 -20.0681729682469 -16.2281100914725 -21.1939347672591 -15.490813848685 -25.1521243964903 -11.5023981398801 -18.8864112680082 -16.8372076194912 -17.4349715540427 -17.2639903709142 -12.3463117743599 -18.5741761052287 -12.302506454664 -16.3702383688255 -21.044183131479 -18.6107491347052 -16.3922353327741 -17.6011772195856
198004 -8.2803218288894 8.73715793970887e-18 -22.9889572147916 -19.5320925694076 -19.5948695834075 -25.6844963395566 -20.4552262217188 -22.0036544968155 -19.732508569177 -18.9307638649849 -16.8506820348168 -21.7265738489493 -16.7184116504632 -19.3887847391338 -22.4103250270439 -13.9911256288251 -17.0895186987344 -13.7591041174894 -4.77199841529838 -15.9627461119205 -19.6216594787409 -16.6477241816014 -17.2817000316075 -17.0053033306537 -17.7554644248062 -20.0397470654524 -14.2490919834969 -16.2715818171584 -18.0087446626515 -15.754047637266 -11.0959243768346 -21.9304120375658 -15.4396756732307 -15.0830199124474 -16.6415632121467 -18.0037818596623 -13.3628305596464 -26.8020651896431 -12.6951668707393 -14.2577555712877 -14.6848276341883 -17.2046537329584 -18.6947364331962 -11.4189506316971 -17.9495144974381 -10.529755962528 -19.2425720169612 -17.6839790365051 -21.6761860552247 -22.1732046241811 -20.6850261249297 -17.1229828272212 -21.6381078775943 -15.0312695018537 -21.2928017490557 -25.332764437682 -14.4470905630249 -15.1354977196449 -12.3728163591896 -23.9725767513519 -23.4699406727677 -15.7138393865553 -18.0227097327439 -17.3681336675635 -15.8718505746676 -17.5647678063669 -18.7152600115978 -21.2927687199044 -20.4248475621805 -21.5246972735744 -17.3686212809753 -22.5671111591249 -16.4342602135349 -20.188553213455 -16.3072372699861 -21.9167163921506 -23.3278039172224 -12.1388590029316 -19.9989984467286 -19.648342486215 -17.7694256457513 -17.1866996431481 -20.0951001756054 -16.5535346300385 -20.0116962616871 -16.0353183362264 -21.1911672276288 -15.7653088482393 -25.1287530566705 -11.6189280554565 -18.5298548448715 -16.6412051110152 -17.6245678396154 -17.3065502393901 -12.5664673073411 -17.9108404040015 -11.8635001475682 -16.4968672957789 -21.136144207806 -17.9485835718886 -16.6534921049989 -17.824130076969
198005 -8.38410920953341 3.53780387218248e-17 -23.002952309392 -19.5935763569304 -19.6663688998556 -25.6368073880658 -20.4636750119088 -21.899310220432 -19.7208949857475 -18.927781875767 -16.8604768638582 -21.7942996931894 -16.731332167998 -19.4597801803722 -22.4533162841652 -14.0487031947392 -16.6707720210756 -13.4832050956378 -4.73953437801911 -15.8174027518955 -19.5023679883222 -16.6908001809199 -17.0180557405909 -17.0009613862776 -17.7398069888143 -20.0857934228392 -14.2943701542182 -16.2946782543883 -18.0720202365294 -15.823111936838 -11.0567881738938 -21.8215055614918 -15.5040220522162 -15.1516442002962 -16.6205352933416 -17.8323620572974 -13.4169885936373 -26.8775150274732 -12.5559452279725 -14.2176349668001 -14.74396803888 -17.2746205375482 -18.7590496108039 -11.2541520296272 -18.0112771286486 -10.5883671970122 -19.2714529074587 -17.6363800225445 -21.6824065596074 -22.0339405053638 -20.6789457334846 -17.1070323825489 -21.3843627889891 -15.0650932225238 -21.2825128164318 -24.8098893226459 -14.5056740179488 -15.203740163008 -12.3418190634814 -23.536699564608 -23.2266649673633 -15.5942909183654 -17.9691972957719 -17.3898589116992 -15.8615299072987 -17.5822975947884 -18.6431047502358 -21.228928858799 -20.2242907448962 -21.5840935199607 -17.1848797162282 -22.5845340692734 -16.4920455978327 -20.2510084663309 -15.8952634628608 -21.708992738338 -22.9866409758337 -12.0485381513084 -19.7018473543629 -19.6874994889284 -17.8366408040949 -17.1733205265914 -20.1583547240197 -16.309112140907 -19.9718091530387 -15.1385780135786 -21.2380471797098 -15.8211923362782 -25.0214478775494 -11.6843254564467 -18.2992019998797 -16.5620394416538 -17.6942046520863 -17.2891649727404 -12.5606838183993 -17.9661895981538 -11.9248749147123 -16.5657206094175 -20.8057336188724 -17.8962897733029 -16.6617783931591 -17.8921029655673
198006 -8.39372786249359 4.2691577130442e-17 -22.8356123972367 -19.6410339830654 -19.742397071455 -25.7780947096433 -20.8744364037769 -21.9257263177703 -19.5228173943009 -19.0207522155932 -17.1560127048481 -22.1376002423695 -16.7318252377586 -18.8703237783979 -22.178009940643 -14.1590368150721 -16.7238517621824 -13.7017125047259 -4.44884164983526 -16.0446404664217 -19.6858416018121 -16.5733724637358 -16.8361610330263 -17.1191347160889 -17.9823778666048 -20.4840950393232 -13.8802013963528 -15.7282799203673 -18.0574324957575 -15.861588570314 -10.7209402315624 -22.0029572876808 -15.0246000010296 -15.5140865612909 -16.7701511559428 -17.4950345384792 -13.2623012014282 -26.7655732884759 -12.5660002431225 -14.1912889018249 -14.9370960168698 -17.4545125530393 -18.9797226192026 -11.4610957521939 -18.3614165672049 -10.6352722239376 -18.8982615199137 -17.4302370724639 -21.7516319461261 -22.1202192416948 -20.6143660350978 -16.7435146360652 -21.1904218741695 -15.1260432593667 -20.8011057866638 -25.0871536656198 -14.2276318162733 -15.0574181601632 -12.5990705846054 -23.0951516926161 -23.129309473456 -15.912359241373 -18.1378133223279 -17.470461027047 -15.9188955987474 -17.4677430629589 -19.0392683281299 -20.6788898750942 -19.8327577728018 -21.677796535544 -17.2064967662511 -21.9738121787129 -16.5003569104204 -20.323338562431 -16.2248282679831 -21.694024716458 -22.0921679561073 -12.1602708437257 -19.6468419526294 -19.4534585112731 -17.9292183411614 -16.890194697102 -20.4618073735197 -16.1417160883059 -20.16229592961 -14.888070089576 -21.2817911230911 -15.9640173052927 -25.1393791609789 -11.9581313472171 -17.6800107124803 -16.7862110755844 -17.6795258718806 -17.1889429605246 -11.9920846374984 -18.1773609141098 -12.1153221038444 -16.4356182098507 -20.9004376341199 -18.1673196830369 -17.0093850708913 -17.8150043207532
198007 -8.46278963908225 7.57398194554076e-17 -22.6287445299243 -19.6487917568922 -19.5777880521317 -25.4738888034893 -20.8366500057455 -21.9278675452376 -19.5121636843188 -18.8998537313065 -17.1667948014332 -22.1499804837619 -16.4701489861335 -18.8679953875314 -21.873520113859 -14.1108822644704 -16.7128420503059 -13.6660986925973 -4.45512828600612 -15.9817137010944 -19.6588932608946 -16.585447021478 -16.792393298682 -17.003637117636 -17.9745819679877 -20.4816532005227 -13.8924872179178 -15.6897268130875 -17.9991919309982 -15.8739463946967 -10.3993334978418 -21.3573008481428 -14.7798358457748 -15.4285836939503 -16.7614414655703 -17.3857530279691 -13.2708625712557 -26.7635901483609 -12.4387301073976 -13.8273267576676 -14.8817985002855 -17.3831682118187 -18.992358460469 -11.4465778078935 -17.7333924501554 -10.6135615479214 -18.9079087474608 -17.4266293992035 -21.7636658269001 -22.0187835677797 -20.6185160262201 -16.6749847834862 -21.1766136572041 -15.1173227545848 -20.3684478101046 -25.0978492450638 -14.1461728155976 -15.0142030265489 -12.355293287747 -23.0303563457063 -23.1421778319658 -15.7375893619495 -18.1406765397395 -17.4799988385487 -15.9295936672325 -17.4681003487697 -19.0494393163779 -20.4471655097701 -19.8457099812226 -21.680006245568 -17.1968873345213 -21.9864550317046 -16.4876672441651 -20.3363500110669 -16.1254363969778 -21.6547947922582 -22.0784122574048 -11.8338885495461 -19.5858015907628 -19.4463793083622 -17.9108692800876 -16.8983265196952 -20.4683895286308 -16.1390471880156 -20.0438092598042 -14.8538442146865 -21.2260509336696 -15.9744674289705 -24.7796481540647 -11.9648153930458 -17.6925444009133 -16.6067971160394 -17.6922730419365 -17.1672744164505 -11.9410233735683 -18.1521106985498 -11.8671427689011 -16.3545811082499 -20.8782127567765 -18.1734603453954 -16.9467713679997 -17.8106857161595
198008 -8.45053979961146 1.87691130010499e-16 -22.5571763090834 -19.6391006658347 -19.5381182409277 -25.4526284286759 -20.8462217693228 -21.8525200978315 -19.5356090389532 -18.9198624715066 -17.1402274739407 -22.1700668071403 -16.4978142370386 -18.8860951446201 -21.8595364494691 -14.0968409527974 -16.7404344314498 -13.6929952924513 -4.41961177419854 -15.9963239008077 -19.6622228962613 -16.5471870231108 -16.7690745737887 -16.8850845455491 -17.9931663370403 -20.4395193120491 -13.7510242337429 -15.4852750567188 -17.6848514731438 -15.9010339457985 -10.3822996634781 -20.7774494375167 -14.735423164389 -15.4475400951464 -16.7599326489268 -17.4097695108018 -13.257618891074 -26.7915564516245 -12.3575850326092 -13.7577872652841 -14.8731763701491 -17.2796423430205 -18.8972095976699 -11.4686846110976 -17.7470769913679 -10.604242489183 -18.9317870727306 -17.4082129118556 -21.7234883479443 -21.8658636652798 -20.2808103680409 -16.6811833781179 -21.1297053730279 -15.1387896111619 -20.3974182105619 -25.0531300292654 -14.16430325604 -15.0208937614728 -12.3822783169441 -22.8778428739486 -23.0360464724269 -15.3909348890229 -18.0704521448519 -17.5000151613824 -15.918299151166 -17.1030671011067 -19.0567116019212 -20.4704502643993 -19.839038030925 -21.6244184608815 -17.2242327257966 -22.0149822563071 -16.4066900075125 -20.1914031910537 -16.0773099431341 -21.6451509870051 -21.947121705786 -11.8329075703417 -19.377277401148 -19.4751041557138 -17.9160374888297 -16.8285883740619 -20.466359583659 -16.1313757813261 -20.0199381444129 -14.8316221918347 -21.0642515799088 -15.9632781237251 -24.8064830452562 -11.9486005143465 -17.700418600066 -16.631776528565 -17.5840277091304 -17.0187089976705 -11.9662372045565 -18.0613648982487 -11.7489111074233 -16.3803426872027 -20.8846274792959 -17.959677872141 -16.965274661292 -17.8276416626653
198009 -8.46824775672013 2.86204335825266e-16 -22.541614648584 -19.6318774742171 -19.5251662250474 -25.4394876561618 -20.8482967065465 -21.8536427784944 -19.5379915140697 -18.7945845066617 -17.0860636916299 -22.0378523934702 -16.5012475703971 -18.7604981396514 -21.8592972798756 -14.0833876869367 -16.6112865177122 -13.5027010614721 -4.42188041072384 -15.978030108842 -19.645205605434 -16.4028651923257 -16.7701437040289 -16.8466612813353 -17.9507124777745 -20.3173181343755 -13.7428091882619 -15.4871490779458 -17.5978611133508 -15.8699878622706 -10.3452766128447 -20.7798658458637 -14.6720439998355 -15.434819695823 -16.7075789958168 -17.4066147764618 -13.2553745504998 -26.7714456808491 -12.3310419932255 -13.741477379748 -14.8766208698897 -17.2787285567934 -18.8429819140774 -11.4601327073435 -17.7497719067174 -10.6075388431574 -18.9292322789076 -17.3719135994886 -21.5981309915598 -21.862211619413 -20.281825007052 -16.6778064546217 -20.9536529224275 -15.0167974229753 -20.3992348639122 -24.4779199950309 -14.0899626963784 -15.0224555051137 -12.2773093445156 -22.8653713612559 -23.0285620344266 -15.3935423667896 -17.9269542889771 -17.4418296758098 -15.9194707915321 -17.0987133031411 -19.0036540111438 -20.4720958939438 -19.7943288970541 -21.5537432635581 -17.1797439906244 -21.9027027212759 -16.168254056541 -20.1864374201099 -16.0048408597242 -21.6463007775619 -21.9352709282803 -11.7839866601068 -19.3652827407538 -19.418194412021 -17.8616260667264 -16.8262221004472 -20.4342012139115 -16.1343614279951 -19.9064213725456 -14.8138932890321 -20.9895623847926 -15.9058715504794 -24.7610914265377 -11.9215123445415 -17.7004786276157 -16.6253584460349 -17.4425456381064 -16.8237840717302 -11.9184282711062 -18.0534038412835 -11.7519128286457 -16.054380000495 -20.8631577320235 -17.7665459897957 -16.9687545595502 -17.8239090466682
198010 -7.70326506178305 5.83368667108168e-17 -22.8691021068396 -20.0218088850032 -19.903281259151 -25.5436607009652 -21.2180223451967 -22.101067580336 -19.8957891897243 -19.4171253587563 -16.6828767871677 -21.6483933568037 -16.751103621869 -19.3510856451075 -21.4864676453286 -14.1519850852489 -17.0341890294604 -13.1249631627337 -4.83194277484484 -16.7719256030171 -19.8889487486204 -15.8594194842718 -16.7372853103631 -16.6208576780653 -18.2860573435149 -19.4366589167937 -14.0590999476897 -15.4895351472296 -17.9048493612048 -15.9986013774704 -10.8177019011978 -21.029290160885 -14.7303652824378 -15.9200670129836 -17.0566306020029 -17.6996172511858 -12.8835219926725 -25.8205567191575 -11.2959246053081 -13.7680419623168 -14.7948733575354 -17.8957698286258 -18.8456870352876 -10.4959020673399 -17.891103175525 -10.3906544443201 -18.8674318652056 -17.5650466899924 -21.1789015205062 -22.4717487718388 -19.8806463615167 -16.8188487384657 -20.8390581961696 -15.5554483238024 -20.4845829969111 -24.7224940863359 -14.9159226637787 -15.5346792372743 -11.695839596245 -22.1970385535864 -23.7747861485686 -15.4698912147156 -17.1022877917949 -17.4311976979073 -15.4679241849746 -17.9719626709152 -18.5189244332571 -19.7773993529081 -18.8096001866328 -21.0366519906428 -16.556037350271 -21.4957172649088 -16.5761655488738 -20.6865669832716 -15.8659401023607 -21.0371950109427 -21.3712333418719 -12.0343343888811 -19.7175444810694 -19.8056640208064 -18.1431738996512 -16.2421380298742 -21.2602080548231 -16.4571179417455 -19.8780623701767 -14.673591689778 -20.4053754478488 -16.0206139195211 -25.1086979152608 -11.8875282161996 -17.7291765316058 -16.2301920013322 -17.7247011666162 -17.3754907238897 -11.8091843314627 -18.3117189690229 -11.7847318570408 -16.6147832772088 -20.6751459060534 -17.7326220773655 -17.1559403154103 -17.9062861211727
198011 -5.73974063886098 1.0645022088759e-27 -22.9702589269315 -19.8367883476117 -20.1621907698845 -25.4942425543484 -21.311261066931 -22.219410012046 -20.1963496245036 -19.5130103097133 -16.4498572820806 -20.7858460130965 -16.5287369624622 -18.971219336247 -21.3619500088645 -14.078319200887 -16.8496551043972 -13.2854175932262 -4.92129188501633 -16.9653537650231 -20.122209688925 -15.7524227349558 -16.9454996856064 -16.303798900691 -18.2009095349689 -19.4488891197932 -14.3618028813278 -15.7070547162806 -18.0636951720554 -16.2876423518548 -11.055990602817 -20.903714650152 -14.274312060788 -15.0528666206041 -17.3430321289092 -17.6918151909736 -13.014366487659 -25.3839629066309 -11.1518694373363 -13.5083487309029 -14.6609809563141 -17.7760641199208 -19.0380546466744 -10.7773560468992 -18.0350053366582 -10.4111564694964 -19.1432173859386 -17.857482726373 -21.5009458689213 -22.5194401158417 -20.1949703241359 -16.4685922271833 -20.9710041272743 -15.7101700778059 -20.7207612546994 -24.8309184565372 -15.0687605058319 -15.0369112106893 -11.7239070963316 -21.7215891877757 -23.8463318976548 -15.391465341085 -16.937252378344 -16.9945038749903 -15.606005555926 -18.1813788663447 -18.7015381221355 -19.8552449543389 -18.8500801689055 -20.8115393588335 -16.7042923847658 -21.2232091367589 -16.3528114362574 -20.7820201913576 -16.0290533469415 -21.1507468548647 -21.0286628044241 -12.2222515037544 -19.5696133277597 -19.7185694038344 -17.7581142213493 -15.6392388816323 -21.1804437073332 -16.5367892601511 -20.0393502944773 -14.4959687065337 -20.6734005875401 -16.1315086996322 -24.6783627264932 -12.1069948726609 -17.7574469038254 -16.477858760785 -17.5134854141963 -17.1483929597684 -11.8521662776705 -18.2774536866488 -11.6020107746023 -16.794704946033 -20.5034855975313 -17.8545321079556 -17.3073406442418 -17.9165090822525
198012 -5.9785271228822 2.34180323663481e-25 -22.8535061785196 -18.772325693599 -20.5385446718867 -25.2614590601647 -21.65874707719 -22.2340299454078 -20.1661440570079 -19.5274514859338 -16.462698271241 -21.1826831515357 -16.3635799092915 -18.5786576043557 -21.557997253807 -14.3665488216313 -16.6560414783755 -13.6835781584337 -5.02440849878119 -16.500373888927 -20.3106079440015 -15.819774181975 -16.6862766931436 -16.1886221499447 -18.2902358247963 -19.567239781318 -14.6202794489333 -15.8056499310199 -18.2534409423789 -16.704693901171 -11.1293969445767 -21.1027779997077 -14.3317740228337 -14.7404537505703 -17.6278791735351 -17.2850284941268 -13.1188237295117 -25.8486631385299 -10.4219439256924 -13.6250399770113 -14.4252907664203 -17.9863345736816 -18.6796674627734 -11.1410023226355 -18.3421151435254 -10.7308555551499 -19.5878859538239 -17.6969852692471 -21.3119043080405 -22.8813260464698 -20.5687232940207 -16.451631172287 -20.5827201748013 -15.4973105996446 -21.1298516168471 -24.8808956253421 -15.1413047160425 -15.0170932272045 -11.8199717617295 -21.8577302916823 -24.0491495036336 -15.6422381299122 -16.8171884378233 -17.1216078323046 -15.5770450748053 -18.5564612407548 -18.9641845768034 -20.1550403936928 -18.8121757051219 -20.7747661658904 -16.9657188569401 -20.8565612595115 -15.5668465042036 -20.4990519806014 -16.362328039949 -21.3437455631924 -21.0164553696351 -12.6373213055751 -18.9710618675099 -18.9725087286733 -17.7644294031852 -15.6377001035725 -20.8795106085846 -16.932379181247 -20.1272220926471 -14.5889208583945 -20.8015130051192 -15.9635771042948 -24.799797415584 -12.0299079458768 -17.899772276907 -16.4359218502386 -17.6555511777215 -17.252711567011 -12.1905497716224 -18.479028447551 -11.8803780936361 -16.4629986309317 -20.8171075625963 -18.2190904637086 -17.4177290614655 -18.3192714298231
198101 -5.79031695674632 7.42697232005757e-27 -22.8474539891059 -18.7721751615981 -20.4579125679407 -25.1095385685049 -21.6335091526565 -22.2329111665763 -20.1629053024795 -19.3292142692827 -16.3533091879401 -21.1813976244547 -16.3630242032177 -18.4130033329113 -21.5203759692188 -14.3327013171589 -16.644086403457 -13.6169522270174 -5.02386433330071 -16.489185363229 -20.310878494421 -15.8176327828736 -16.6806545618155 -16.1521455062759 -18.2671806167284 -19.5634201349554 -14.4652391050609 -15.7669979443324 -18.1693839552534 -16.6239721126286 -11.1278568784794 -20.991158443179 -14.3215099463935 -14.6976508214984 -17.6195529488165 -17.2570373280797 -13.1098524597112 -25.8396891860824 -10.3475582335049 -13.6213081399714 -14.3953742174644 -17.9766951138153 -18.6603011883086 -11.1409728875715 -18.3070606587894 -10.6666479143622 -19.562383967647 -17.5544668945842 -21.3016910408213 -22.525846301884 -20.5497316047318 -16.2852656428046 -20.5612599694097 -15.4275450164382 -21.0684078887937 -24.7454236367932 -14.9283344640828 -14.9330038046049 -11.8193473268103 -21.4732379675246 -24.0142572024364 -15.6340174896649 -16.7871455089211 -17.026430528538 -15.5371163102467 -18.4232471622355 -18.8599182005646 -20.1317191353492 -18.811280543063 -20.6974883509697 -16.9150968130195 -20.8552574106283 -15.2990726497253 -20.485895141703 -16.3583897680169 -21.1893658286825 -21.010224139261 -12.6037064728061 -18.9713854041775 -18.9686839803214 -17.3426073906047 -15.4249681803676 -20.8145391640586 -16.8927672708404 -20.1187891603965 -14.5812554660069 -20.654108664393 -15.9636017664015 -24.7823956081373 -12.0249496624164 -17.8991554072026 -16.4166468465966 -17.5545120416583 -17.1940450910244 -12.1447574400139 -18.4709713621891 -11.8658622176232 -16.322464293301 -20.7821758378892 -18.2189912683812 -17.1850492852846 -18.2774316880607
198102 -5.77765873933276 8.81033233982455e-27 -22.9956337765629 -18.7205725462889 -20.2991617761904 -25.1984295807835 -21.4021688157835 -22.119442604145 -19.9865523208675 -19.3679387853553 -16.4620952384067 -21.3151443638329 -16.4880799734372 -18.0915766418006 -21.5644642344055 -14.4483940380647 -16.7678590541634 -13.6811896648218 -4.88341364710052 -16.2705480097558 -20.1006101310426 -15.9450087144237 -16.728652406659 -16.1359465883347 -18.1221604180003 -19.6036900692656 -14.5708713005156 -15.5666252206709 -18.2740407057564 -16.6798811523198 -10.9935662908255 -21.135230687733 -14.0359479146389 -14.6158397874326 -17.5491406215394 -17.3461423108367 -13.0441863864515 -25.3606964937424 -10.3460064517531 -13.5491793231351 -14.1916437565319 -17.9890673092366 -18.7483632600608 -11.2183128610772 -18.2373691588606 -10.7631608168703 -19.5684484814957 -17.5026354942202 -21.167647819712 -22.636785797907 -20.5621598225693 -15.9972025728665 -20.6030052301062 -15.3340790258317 -20.8342557566776 -24.8520319196218 -15.0655385054607 -14.8551330865045 -11.493329950565 -21.0817705700829 -24.1341211512995 -15.6616055634175 -16.5814278011343 -16.5884964611646 -15.4484484926628 -18.2997664128454 -18.9875217721787 -20.1956536209186 -18.261090016094 -20.7627336240617 -16.7734745865113 -20.9986765412094 -15.2222595352349 -20.4657190958837 -16.4113993255315 -20.5429656212136 -20.9189726643196 -12.678137837967 -19.1045595234635 -19.0839392141016 -17.4452400856273 -15.3022567101831 -20.5248133052507 -16.8730369788497 -20.0468519682359 -14.6419415158032 -20.7815468278598 -15.8339836896173 -24.9042700535245 -11.8627621081288 -17.9055214389283 -16.4606456402039 -17.6860600955779 -17.0718378533946 -12.2438084959995 -18.5842538603795 -11.9680857199952 -16.3308283735217 -20.9215070512919 -18.2634375570993 -17.3227858267965 -18.3538131662112
