"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103"
198101 -5.93702381817409 0.00142884890550057 -14.102732380578 -20.5555052126555 -22.285863556507 -21.9954958224005 -17.091306241105 -14.5141256386295 -12.2988278548164 -15.3047527473262 -15.9342287948961 -16.9436178978782 -18.5460111120715 -9.92829035552802 -14.4250330359883 -16.8348354944435 -12.7689258115154 -13.7214660187509 -19.2594395016769 -16.7296718664509 -18.2807360570556 -15.7878792864812 -11.9443818679758 -15.4709444114308 -18.0362549593475 -16.5157084924437 -16.9444191055522 -21.2211051190521 -14.4914475871856 -10.8752212071291 -17.779653603429 -16.5820841462915 -8.39817556669214 -16.5880002547161 -8.82604189974243 -19.730256382413 -11.8185376744769 -4.06260815453565 -14.7341443885883 -15.4335896610263 -12.4932318285325 -18.0372524580631 -12.3037806670338 -15.514919703428 -16.1024931566417 -20.3648649627988 -17.6894047345816 -15.9212722098494 -13.1431355729015 -14.0538377249267 -21.4476346565734 -16.7599836721082 -13.3984633817355 -15.699800036789 -16.4534284921926 -15.5587213130988 -16.0267118808719 -21.0148434511803 -19.9368837729533 -19.0375970256072 -14.0850598563529 -15.3046176243819 -13.8980134544127 -16.0474800880219 -18.3495857255996 -21.5579269941065 -10.8000825564148 -18.5921706015075 -11.5187472432094 -13.5229657359426 -12.3234539995492 -17.2258347352735 -22.0021461039177 -16.5177981481818 -14.2687864635453 -13.0553167520091 -13.6671284581192 -11.6692140214283 -14.6809519769573 -17.8552074722213 -20.0584785184955 -20.778443401127 -21.1091869949876 -13.4824746730708 -9.21879414182851 -19.8421164230445 -13.3147533699447 -16.3285097657924 -18.9694377903351 -14.8738667156673 -21.5401108385121 -18.2213802186438 -19.7453783814072 -17.3467543580116 -15.6126140899083 -13.6484573728503 -15.3194884128472 -24.0708601431282 -18.0487840668783 -15.6501191421228 -14.299184995559 -17.0438952642112
198102 -5.80497702719305 0.000643019153467303 -13.8070417239829 -20.4983656847986 -22.3453157791693 -21.9438637820439 -16.8798932963288 -14.6220189815315 -12.4333888031959 -15.3092078248286 -16.0386942217061 -16.9843457106019 -18.6214299970443 -9.94714107982908 -14.222741656256 -16.8468885820958 -12.854169242153 -13.7847751619069 -19.3538475960851 -16.6262529382019 -18.1351702973343 -15.832420230385 -11.6063602987375 -15.5091419721136 -18.1784556728752 -16.5765161184624 -17.0094558075589 -21.3133089624952 -14.5437653667807 -10.7079174745868 -17.8562532254595 -16.5221144628474 -8.44075460286835 -16.7284704279511 -8.83777937313457 -19.7587618739761 -11.7223285970215 -4.20626904387009 -14.8675880115426 -15.5256315048605 -12.3964526621325 -17.7964144063212 -12.1822283059902 -15.6028329722957 -16.0947009996136 -20.2336452849002 -17.7324064670352 -15.7597020629404 -13.0523257227017 -14.0916194391377 -21.5498740608018 -16.9442793345873 -13.2868636964982 -15.6560491488418 -16.5314631168736 -15.6857225999753 -16.0236358351733 -21.0385970842118 -19.8036269557634 -19.1942711986412 -13.8600801611525 -15.2539740981478 -13.8610565618071 -16.0259546523864 -18.3420951216893 -21.6498236929563 -10.9350538788618 -18.5202993894823 -11.3927460307841 -13.6498745922464 -12.337238599442 -16.962954471661 -21.9514313741166 -16.6736805164596 -14.3433870540023 -13.1387464922443 -13.6555555439401 -11.7465864213253 -14.802185366494 -17.86707188862 -20.0263885548184 -20.728916390126 -20.9564844842109 -13.5743019694065 -9.2009203598431 -19.8469173911334 -13.4130571610177 -16.3047611437783 -19.0320575555327 -14.9916714758295 -21.6641405979441 -18.2787089505241 -19.7041796969475 -17.3456498262405 -15.582492640754 -13.7168830728037 -15.1437159195518 -24.2031208805142 -18.1994600314131 -15.6338020947223 -14.3513355892872 -17.0282668405201
198103 -5.88779550483414 0.00113895066396521 -14.0840173779362 -20.6267274202233 -22.2859983948071 -21.9777437667465 -16.5519682825702 -14.6238473661742 -12.5554809159284 -15.3187372243979 -16.160483145907 -16.9166741300294 -18.8290670477784 -10.0263106580118 -14.1875872091292 -17.0361032017101 -12.7050170293159 -13.7554409038952 -19.5857632080844 -16.7124906842334 -18.1045611514464 -15.8976905156003 -11.7192226174141 -15.4945291919586 -18.3646860519935 -16.5226064503452 -17.1671753321991 -21.2102743949091 -14.4956888742204 -10.6597515403856 -17.9811396442013 -16.3419336842887 -8.22306984747283 -16.3147988173541 -9.02075624397536 -19.6972388618447 -11.8043701374732 -4.33067824896078 -14.9180527296799 -15.7364112844878 -12.4102721597584 -17.5697496899749 -12.1326154983329 -15.2371180187363 -16.0935834145434 -20.4557491498943 -17.6463719420318 -15.5923089685286 -12.9043685005021 -13.7250063847901 -21.5853446286819 -17.1188826709231 -13.4151236388113 -15.7064296131812 -16.5162889621273 -15.638435892281 -15.947138800178 -21.1634587051233 -19.7344473710559 -19.2082281813559 -13.9224150255602 -15.0927257842684 -13.819983637328 -15.9131112174618 -17.8167174377796 -21.8058100172164 -10.9229988865098 -18.3686934140596 -11.1273839657196 -13.4773811274973 -12.3405285868618 -17.0375099959703 -22.0214861112027 -16.9184021019174 -14.5388745878029 -13.1262594086004 -13.6349879829266 -11.8766592316671 -14.9692345104406 -17.8075363538442 -20.0771901417274 -20.7791848115437 -20.8383742972635 -13.673499813094 -9.2011369526176 -19.8207933602333 -13.562786622536 -16.3961512604127 -19.2824877212865 -14.9378425819195 -21.7456139233776 -18.209432754504 -19.5812135556109 -17.4280100362939 -15.492830819082 -13.7261637077417 -15.0035682215223 -24.2917664220267 -18.3228722515672 -15.4869479426887 -14.3175605575711 -17.0834606640879
198104 -6.12993285237908 0.00744747613625517 -14.09447764134 -20.4529278591456 -22.4118429428749 -22.2720299099728 -16.6433422952686 -14.8519019843727 -12.3132436322458 -15.4710335436217 -16.2870876188714 -16.4957237853681 -18.7801012662865 -10.1624936316976 -13.9445076738981 -17.32425450968 -12.983105558944 -13.6352136306548 -19.8284095080376 -16.4958422369028 -17.9928298147231 -15.9217065075112 -12.0404531696019 -15.5756358677735 -18.7587782214649 -16.5326451025739 -17.2481944945142 -21.1206608309819 -14.5523927389301 -10.6623571576413 -18.2627773684904 -16.3415062460989 -8.39586108656629 -16.4078733588669 -8.93583634619122 -19.3706710890068 -11.927283635398 -4.1160981669863 -15.1128414196103 -15.8355640332906 -12.3227011958771 -17.355373681576 -11.79079842375 -15.0947615914565 -16.1822701648978 -20.7614352825092 -17.6580772897396 -15.6155590972084 -13.0081365327983 -13.6316384809771 -21.7064155741372 -17.3767520759343 -13.6985734319522 -15.5062335222368 -16.6893770646673 -15.5885343839741 -15.7867258836408 -21.3281383391278 -19.6315840844475 -19.244829561098 -14.0721839118314 -15.0843691283591 -13.758000551494 -15.8929913098866 -17.7593090934188 -22.0805932146756 -10.9206171021357 -18.5745719203509 -10.9885149990291 -13.6859965260025 -12.4484517197032 -16.8947912702957 -21.9220825181909 -17.3391395056087 -14.4895065441371 -12.9691084870217 -13.5362792715749 -11.7146965608647 -15.2872327732032 -17.9833443273563 -20.1159833281469 -20.7162958143535 -20.8075984186315 -13.420525714771 -9.17019558866561 -19.6629045995089 -13.4075258744639 -16.4711955771466 -19.1361820850332 -15.0454891283639 -21.7848943535303 -18.4006748216703 -19.6081518934613 -17.4560503541281 -15.7108987842262 -13.6752714804203 -14.8948544759419 -24.5986151207676 -18.5796647409251 -15.3678006315615 -14.1995758026202 -17.2901969669994
198105 -6.449344422671 0.0412698473054143 -13.9461418206154 -20.4092029352255 -22.5823354713711 -22.3648673261258 -16.702236769785 -15.0080265075439 -12.5554208181628 -15.5908660248152 -16.396873014881 -16.4875297035425 -18.7814207117603 -10.2386093983313 -14.0693818263106 -17.2993475308177 -13.2758549279358 -13.7271820806283 -20.2991789167383 -16.3460348062216 -17.9795377780951 -15.8722293178363 -11.99514753542 -15.2482405030083 -18.8370419117874 -16.7454415815148 -17.5694206795349 -20.6957586894522 -14.7667609256803 -10.6478846320077 -18.5855720941759 -16.1689715926035 -8.41810482899237 -16.4237304280444 -9.12356971662347 -19.3966644993501 -12.1288909561118 -4.25472403762517 -14.7926254942814 -15.65702861982 -12.1720249691091 -17.3883300158711 -12.1047096485577 -15.1956752769344 -16.1429513255795 -20.7572386011611 -17.593114087052 -15.5435368435294 -12.9135598862428 -13.6147840128502 -22.1762086517388 -17.7435582454066 -13.5911288414945 -15.8644343386665 -16.7544385931322 -15.6382904814544 -15.7757814254816 -21.3571071228467 -19.298912685639 -19.2755388947422 -14.1968160558488 -15.093219327178 -13.898946859865 -16.0414044717118 -17.5862289652659 -22.1282200779904 -11.0361356711392 -18.7612852684762 -11.1815522976559 -13.7029113775713 -12.4839708351455 -16.6538807696963 -22.0746478098355 -17.251659946413 -14.6718795170076 -12.9522738310453 -13.3103988228535 -11.6503509598947 -15.3227070702774 -18.1566965004713 -20.2026472255372 -20.7771578354344 -20.5651733588653 -13.5415042598754 -9.01513836152914 -19.6267095811819 -13.4542060206029 -16.5003247591871 -19.1730536917669 -15.2661896496236 -21.771828283501 -18.7792316105597 -19.787974568243 -17.4536905540268 -16.0035176322439 -13.6715978160354 -14.7913413878563 -24.8716870775835 -18.8205356945897 -15.5356720063593 -14.2343061525124 -17.3621859918515
198106 -6.60666730155297 0.0739636701569781 -13.9205227089625 -20.6048563120415 -22.6692437173348 -22.6203298352548 -16.4563376462517 -15.0452744714116 -12.433576532487 -15.7638143511472 -16.5645913418382 -16.5064559015435 -19.0536338068862 -10.3866221406303 -14.0289689382697 -17.4510693043656 -13.5806807110326 -13.7773404056333 -20.4623688166394 -16.3428175968191 -17.8862962706585 -16.2259316696406 -12.2350576195224 -15.4919186818037 -18.9009137477996 -16.6307512003964 -17.4468321819915 -20.7390660023927 -14.7014472449129 -10.6783351465189 -18.8005023161294 -16.3655600414719 -8.5185882562107 -16.6276295051827 -9.17234745583293 -19.7347581234017 -12.0305046502636 -4.04485021612719 -14.9458574955853 -15.6958520012294 -12.0348522180222 -17.385373317806 -12.0599763234065 -14.9974386798947 -16.2800283069138 -20.5136324607597 -17.4029047876243 -15.6529626083795 -13.0354626865004 -13.8089236557035 -22.2065920362773 -17.9337665573237 -13.5851731579563 -15.9453900773742 -16.9001886146532 -15.9490742375533 -15.7193833649275 -21.6611910194458 -19.1463751479739 -19.1637619644988 -14.3181153688306 -15.3277692544586 -13.7625375031649 -16.2979182306943 -17.526856432807 -22.2039846336076 -11.103391550419 -18.9219376625604 -11.0714688592284 -13.8074176765763 -12.6300833002745 -16.6429035885657 -21.8500493481539 -17.6740008316862 -14.8299086390185 -12.9997914650505 -13.0673167227727 -11.7911453311431 -15.1067496055558 -18.1696028354043 -20.3608609010009 -21.0291294294644 -20.5522262381315 -13.3842882955455 -8.85399213133558 -19.8339790925525 -13.3639245454822 -16.5701929325066 -19.1212357511541 -15.3643043256318 -21.6972983850426 -18.9475228289966 -20.0355598677155 -17.4626654528003 -16.2930273592272 -13.6606727083674 -14.9272103237412 -24.9207776601631 -19.1080000554473 -15.6618576007595 -14.1966411605512 -17.3256941479302
198107 -6.69956446374769 0.0973872918283049 -13.8746879115174 -21.0497138763624 -22.9918122242357 -22.9370431594639 -16.5542349307436 -15.1403286429342 -12.6493956601538 -15.6985713793634 -16.6868785476612 -16.7492185680959 -19.17791741008 -10.2534439060473 -13.8735430150616 -17.9542565494413 -13.8079310659287 -14.1542033526698 -20.759243239107 -16.1598956281835 -17.9482184494214 -16.5235505952908 -12.1415695373014 -15.6649249370894 -18.7301099374861 -16.533001011766 -17.5860536067668 -20.7377446089705 -14.6088412461464 -10.6198460052289 -19.1220300358004 -16.5694894869359 -8.81207471387748 -16.7761228233797 -8.9889395364082 -19.7041430511384 -12.0228767600649 -4.03185508459403 -14.7621284931762 -16.1496766112934 -11.9010039290651 -17.3211295582392 -12.1471812971 -15.2391436811454 -16.5264492044297 -20.9009107413404 -17.5579808700973 -16.018866150246 -13.0488600818212 -14.1028359770624 -22.1740268122433 -18.3546928925683 -13.9827976611792 -15.8477477390035 -17.3010113364031 -16.1767878980822 -16.1322314737963 -21.917905623118 -19.0159265500472 -19.7673313132343 -14.4193864540143 -15.4387848488051 -13.8894140614561 -15.8625228488282 -17.4776527536649 -22.5788091043353 -11.3925174992006 -19.1371013224007 -11.2152098178109 -13.8957782625939 -12.9887549933164 -16.7599156237161 -21.7545838504975 -17.8532277285189 -14.9219748213813 -12.7608809595719 -13.3161998577741 -11.7792833564273 -15.3703539426022 -18.1545568661177 -20.6080787630167 -21.1920271710542 -20.7939752182818 -13.3042290812539 -8.72756080982309 -19.936133149067 -13.1817685445072 -16.5253172544555 -19.5702669779974 -15.3723428172563 -22.1385116925012 -18.9840738441626 -20.1177815386952 -17.910333694258 -16.7252732167412 -14.0326659130944 -14.7927303104607 -24.9276199963656 -19.3720225233546 -16.0460077168581 -14.130158278362 -17.595768600731
198108 -7.01890183151379 0.274745112671533 -14.0490976370115 -21.3169724710488 -23.0836970347531 -23.0925187978226 -16.3758531171934 -15.1515065770051 -12.7713949533113 -15.715968050908 -16.5222348130199 -16.4271489831567 -19.3472932144973 -10.3403949564086 -13.9225969201848 -18.1456127537055 -13.7638154953043 -14.2267101003226 -21.026162776258 -16.2615976980835 -18.0260762644725 -16.5827424827464 -12.0840567992634 -15.7971470222749 -19.0464612577315 -16.4640042890475 -17.5532951701958 -20.8126179072306 -14.4217972530206 -10.5963621893068 -19.0919013431016 -16.8309144224799 -8.70348207757641 -16.7591653955896 -9.24795591264889 -19.7240243761621 -11.9569865518497 -4.19756547924948 -14.9920186008715 -16.0312959238543 -11.6977840329848 -17.090690698397 -12.2789434781593 -15.18128527884 -16.7364722675252 -21.2504747605114 -17.735587763434 -16.0650832075499 -13.0605569647888 -14.2379561046753 -22.2720321376803 -18.6494124373793 -14.4559232173787 -15.8994568749176 -17.2747228268201 -16.090794536693 -16.3004102163349 -22.1726306795178 -19.1717548321262 -19.9211240603282 -14.2457680641908 -15.4830956014344 -14.01132797725 -15.6474331168956 -17.5812718614059 -22.8545420069756 -11.3861216603615 -19.3827336061818 -11.2084886944434 -13.8675398604903 -13.1541647128814 -16.8584998112197 -22.1185148558485 -18.1042392545241 -14.9050779539309 -12.9200418636954 -13.2448906992491 -11.8186656658785 -15.3197696319681 -18.4435798710413 -20.4529858253847 -21.5081573054614 -20.5907203593656 -13.1021185427685 -8.70438635583979 -20.12396344367 -13.3671586890516 -16.5576727996497 -19.4512672612029 -15.2853779537599 -22.3998966233904 -18.547747708318 -19.9980047463629 -17.9198261754837 -16.7736864001267 -14.0133742947372 -15.0732761072895 -24.9439689192108 -19.6345639649447 -16.1588918509773 -13.9496323148618 -17.6870633324715
198109 -6.92634034095763 0.183625219232072 -13.9256301000686 -21.7044867137828 -23.33069668955 -22.8530921054328 -16.5602156473137 -15.2891292299979 -12.7171879880774 -16.0661316235313 -16.7763533443692 -16.2853608179834 -19.5556305497685 -10.363850590809 -14.0300642034726 -17.9872358942903 -13.7860619545786 -14.3022714080871 -20.8629385205007 -16.3426260660939 -18.0455341895921 -16.7869409864351 -12.0019565710224 -15.9299659744904 -18.8934921044752 -16.1383057600091 -17.6520498092038 -20.8147193677591 -14.3684380733529 -10.9783172427973 -19.200173064596 -16.9639839704242 -8.94851384221589 -16.934988400186 -9.38468446576082 -19.7730553139361 -12.0786320163553 -4.16958228650837 -15.2977514283435 -15.8921466369244 -11.6905205380028 -17.1569819403238 -12.4040660184285 -15.0530070719061 -16.9760715497087 -21.5464940083362 -17.8312931166962 -15.9881903087401 -13.0735376515099 -14.6642693029767 -22.723343697536 -18.5861315521361 -14.7195816794999 -16.444769506662 -17.4845217427356 -16.0972497054124 -16.4540857642564 -22.0355536048853 -19.2684268080531 -20.2300797322432 -14.2717763481848 -15.5020280411595 -14.1056046257881 -15.759659730812 -17.6847691606657 -22.6202882223429 -11.3384030681775 -18.9204097849134 -11.1695175139555 -14.1729431264856 -13.2324485660366 -17.3215614911024 -22.0962886315309 -18.2116776405552 -14.8897798024502 -13.2211993832423 -12.945156203648 -11.9396184455703 -15.4547873316268 -18.566109852279 -20.4937857998257 -21.9633090875401 -20.7876370762998 -13.321794380897 -8.5356846350445 -20.2238524663321 -13.5990784666832 -16.655423403713 -19.8212493771959 -15.5195059819309 -22.6384342206802 -18.5018607437548 -19.7414041387205 -18.0930549810945 -16.996279734793 -13.8656737294663 -15.2598763902021 -24.8891116494816 -19.7396285426697 -16.1975591115662 -13.7269790460807 -17.9152621045461
198110 -6.77510599552313 0.0943235896754034 -13.8858368363458 -21.8539523185234 -23.3506205534729 -23.0098532030937 -16.5893842898029 -15.1095401898764 -12.7733115246675 -16.1361244941763 -16.8828299161405 -16.4439797399023 -19.4861075725215 -10.2867667595973 -13.9865086779568 -18.0720268934906 -13.8656833249247 -14.215639342778 -21.0499168758135 -16.3219313749052 -17.8728679272934 -16.8777578757046 -11.8989492162541 -16.1936466653245 -19.092507155603 -16.1567450260949 -17.5502226930529 -20.9327298255787 -14.3947925918516 -11.0910758823622 -19.3799686913606 -16.9238471247924 -8.92297005191782 -16.8955388761406 -9.39792430204951 -19.9609090408751 -12.1929677201831 -4.00595397143617 -15.3455261215226 -15.9285075516334 -11.7003050665464 -16.922426324009 -12.4227778682828 -15.2221210113753 -16.8745619722536 -21.6730426562335 -17.8092592359164 -16.0740361062838 -12.9982812166962 -14.6131647976157 -22.9471027615544 -18.3997933668504 -14.7288536620414 -16.5382237830713 -17.7003018279315 -16.1537173016183 -16.5585636223066 -22.1319848177517 -19.2843790155164 -20.3892526220527 -14.4167129648674 -15.4537299780416 -14.1239137145222 -15.5887706225922 -17.8132223218135 -22.7000673951283 -11.3818967424419 -18.5435044811748 -11.0908450042891 -14.3384284979303 -13.2401695585705 -17.3107298101018 -21.904955866496 -18.4703178336401 -15.1015543653371 -13.1624087885716 -12.8558884161587 -11.7370373305981 -15.5752393461722 -18.5736032723401 -20.6846372833992 -22.027677394445 -20.9974915267015 -13.5069122935932 -8.36158909763347 -20.184170683584 -13.6416652560465 -16.5289368758065 -19.9016392852861 -15.6815559674031 -22.8061565335414 -18.4592549714117 -19.7978731019706 -18.2385750215301 -17.1527007997526 -13.998379252805 -15.0565807371308 -25.0807485809633 -19.7129630367105 -16.08987636915 -13.7109029261868 -17.9516155826993
